,nav
20220104,99700897.3126116
20220105,97333035.02728026
20220106,99201901.11492293
20220107,97673314.75802083
20220110,98801143.512111
20220111,98252300.69831946
20220112,100252485.9200306
20220113,98523602.97957383
20220114,99966640.88946699
20220117,100774444.48154595
20220118,99222238.17761776
20220119,99001386.36400428
20220120,96735857.19014396
20220121,95293815.58596136
20220124,95339881.94371662
20220125,91738899.33152127
20220126,93086719.9182704
20220127,90891389.05834253
20220128,91763783.28654382
20220207,92733970.67122233
20220208,94534694.42386137
20220209,95547894.56100604
20220210,95940421.8105576
20220211,94264554.89288911
20220214,93445224.26168765
20220215,93371892.53367114
20220216,94878144.35320283
20220217,94459736.34164213
20220218,95439369.01790716
20220221,96205475.95593253
20220222,94831785.77349184
20220223,95724644.94956963
20220224,93621965.24355735
20220225,94770974.48873135
20220228,94902169.33188044
20220301,95166255.04315947
20220302,95526024.09682877
20220303,96245870.8271774
20220304,95226088.59446833
20220307,94326273.23580429
20220308,90831440.51376982
20220309,89375261.71732081
20220310,91096345.21573375
20220311,92224560.82183965
20220314,89855098.10567102
20220315,84810728.09802555
20220316,86546047.08067378
20220317,87632340.3014409
20220318,89402410.37288024
20220321,90026438.31940073
20220322,90246165.00007457
20220323,90573567.47962837
20220324,89984810.37775356
20220325,89647375.18613978
20220328,89984832.0631242
20220329,90334746.19817832
20220330,91615419.74201886
20220331,92214070.31430957
20220401,92303286.76564908
20220406,93868171.07064942
20220407,92011248.128687
20220408,92397044.96603674
20220411,90624572.32146499
20220412,91829987.50463432
20220413,90845884.50913207
20220414,92515036.40873425
20220415,91286755.08589931
20220418,91100271.87934496
20220419,92046395.13600984
20220420,90869880.67806494
20220421,88240095.58032866
20220422,88441829.78637622
20220425,82875755.45609348
20220426,80522433.48021711
20220427,82320906.28438525
20220428,80882431.19978502
20220429,83015616.95570168
20220505,84315815.32998274
20220506,82772577.46251506
20220509,83664629.39398186
20220510,84261214.73131551
20220511,84244715.88492718
20220512,84649354.98806112
20220513,85782723.23131382
20220516,86093029.96139887
20220517,85583349.25030191
20220518,85638208.18982278
20220519,85831634.47399083
20220520,87055356.83083583
20220523,87881907.19400634
20220524,84998106.3237335
20220525,86513004.41439
20220526,87071291.62526456
20220527,87336230.54284526
20220530,87664856.24641226
20220531,88111094.50628099
20220601,88159762.22325683
20220602,88556065.84317175
20220606,89783167.82681535
20220607,89202066.68767026
20220608,89284126.61957425
20220609,88687991.88740504
20220610,90218754.60375834
20220613,90258693.81055187
20220614,90585535.19111137
20220615,90230775.0078009
20220616,90218293.5291774
20220617,90609559.85165931
20220620,91010116.81301019
20220621,90439583.75656454
20220622,88974896.5268161
20220623,90361630.61485341
20220624,91283972.11802891
20220627,91821299.09423122
20220628,92410115.33147205
20220629,90931470.60803603
20220630,91897696.68328236
20220701,92065364.05574512
20220704,93004850.40523426
20220705,92659760.53031465
20220706,91237175.59220518
20220707,91865919.91997534
20220708,91481748.13728258
20220711,90888868.45666116
20220712,89409412.83966185
20220713,90036979.57028623
20220714,90800633.26502077
20220715,90169414.45506878
20220718,92334926.01225984
20220719,92927477.97944196
20220720,94041785.22048931
20220721,93253329.76703557
20220722,93094216.97967532
20220725,92322169.8957795
20220726,93314293.28803355
20220727,94684751.81836727
20220728,95550900.28229105
20220729,95208221.65773135
20220801,95423468.46455592
20220802,91545039.00104049
20220803,90372994.02826776
20220804,91218195.82349762
20220805,91491351.64004624
20220808,93578915.95238209
20220809,94505245.53540418
20220810,95450654.07991627
20220811,96036049.91017693
20220812,94867513.7888168
20220815,96271538.94639944
20220816,97827862.25248095
20220817,98340894.79721512
