date,code,direction,qty,price,cost
20220104,603599,buy,57807,17.3,3000.0
20220104,300660,buy,64554,15.49,3000.0
20220104,603005,buy,30397,32.9,2999.91
20220104,603229,buy,78770,12.7,2999.97
20220104,601728,buy,276710,3.61,2999.99
20220104,600742,buy,99762,10.02,2999.99
20220104,002270,buy,126897,7.88,2999.99
20220104,688298,buy,7649,130.73,2999.88
20220104,300519,buy,47439,21.08,2999.98
20220104,600285,buy,70450,14.19,2999.97
20220104,002483,buy,127750,7.83,2999.98
20220104,603037,buy,135782,7.36,2999.99
20220104,601199,buy,169801,5.89,2999.99
20220104,601169,buy,286058,3.5,2999.99
20220104,603886,buy,56701,17.64,3000.0
20220104,600012,buy,170375,5.87,2999.99
20220104,002677,buy,71387,14.01,2999.97
20220104,688378,buy,47918,20.87,2999.96
20220104,002722,buy,64913,15.41,3000.0
20220104,300358,buy,40670,24.59,2999.95
20220104,600325,buy,196606,5.09,2999.99
20220104,601985,buy,133367,7.5,3000.0
20220104,300856,buy,75207,13.3,2999.99
20220104,002873,buy,65351,15.3,2999.99
20220104,300580,buy,83633,11.96,2999.99
20220104,603095,buy,90332,11.07,2999.99
20220104,600750,buy,84759,11.8,2999.97
20220104,688678,buy,62668,15.96,2999.99
20220104,600874,buy,156825,6.38,3000.0
20220104,002056,buy,61468,16.27,2999.97
20220104,002191,buy,78131,12.8,2999.99
20220104,688556,buy,75214,13.3,2999.96
20220104,603279,buy,38376,26.06,2999.95
20220104,002101,buy,94765,10.55,2999.98
20220104,603239,buy,62383,16.03,2999.98
20220104,000059,buy,145742,6.86,2999.99
20220104,600283,buy,106948,9.35,2999.98
20220104,002068,buy,95419,10.48,2999.97
20220104,603896,buy,21816,45.84,2999.93
20220104,300893,buy,79559,12.57,2999.99
20220104,003025,buy,83126,12.03,2999.97
20220104,000823,buy,78023,12.82,3000.0
20220104,002557,buy,18338,54.53,3000.0
20220104,600873,buy,152716,6.55,2999.98
20220104,000429,buy,168012,5.95,3000.0
20220104,603809,buy,132644,7.54,2999.99
20220104,300653,buy,25056,39.91,2999.99
20220104,603617,buy,116595,8.58,2999.97
20220104,300547,buy,77243,12.95,2999.98
20220104,603006,buy,105214,9.5,3000.0
20220104,000567,buy,186760,5.35,3000.0
20220104,605377,buy,116992,8.55,3000.0
20220104,300394,buy,56218,17.79,2999.99
20220104,603369,buy,20020,49.95,2999.86
20220104,600455,buy,42881,23.32,2999.95
20220104,002463,buy,64043,15.61,2999.96
20220104,002892,buy,106082,9.43,2999.97
20220104,603801,buy,57919,17.27,2999.96
20220104,002815,buy,63779,15.68,2999.96
20220104,603258,buy,35431,28.22,2999.97
20220104,600535,buy,70521,14.18,2999.99
20220104,688399,buy,12419,80.52,2999.79
20220104,605111,buy,16362,61.12,2999.95
20220104,605399,buy,43632,22.92,2999.98
20220104,600039,buy,150213,6.66,3000.0
20220104,000049,buy,20649,48.43,2999.86
20220104,601919,buy,90054,11.1,2999.99
20220104,603100,buy,69475,14.39,2999.98
20220104,603327,buy,150236,6.66,2999.99
20220104,600173,buy,162654,6.15,2999.99
20220104,688586,buy,60984,16.4,2999.99
20220104,603466,buy,52822,18.93,2999.95
20220104,600449,buy,90241,11.08,2999.98
20220104,002940,buy,57052,17.53,2999.99
20220104,600764,buy,27221,36.74,2999.95
20220104,603698,buy,55996,17.86,2999.96
20220104,002003,buy,122573,8.16,2999.98
20220104,600015,buy,229938,4.35,2999.99
20220104,002725,buy,95538,10.47,3000.0
20220104,601677,buy,34063,29.36,2999.98
20220104,603319,buy,75841,13.19,2999.96
20220104,605369,buy,16119,62.04,3000.0
20220104,600668,buy,63759,15.68,2999.96
20220104,300863,buy,47526,21.04,2999.96
20220104,603112,buy,84970,11.77,2999.97
20220104,600033,buy,413969,2.42,3000.0
20220104,601988,buy,415463,2.41,3000.0
20220104,603637,buy,105445,9.48,2999.98
20220104,002254,buy,55126,18.14,3000.0
20220104,601881,buy,98997,10.1,2999.97
20220104,603199,buy,48348,20.68,2999.98
20220104,603966,buy,168131,5.95,3000.0
20220104,688300,buy,26250,38.1,2999.98
20220104,002884,buy,48281,20.71,2999.94
20220104,600113,buy,156231,6.4,2999.98
20220104,002839,buy,255571,3.91,3000.0
20220104,002293,buy,90270,11.08,2999.97
20220104,601515,buy,163117,6.13,2999.99
20220104,300501,buy,81521,12.27,2999.99
20220104,000989,buy,71234,9.85,2105.2
20220207,603229,sell,78770,14.07,3326.05
20220207,600742,sell,99762,9.04,2706.7
20220207,603037,sell,135782,6.34,2581.78
20220207,688378,sell,47918,16.77,2410.88
20220207,002722,sell,64913,14.93,2907.35
20220207,300358,sell,40670,19.7,2403.51
20220207,002873,sell,65351,13.35,2616.56
20220207,002191,sell,78131,14.84,3478.96
20220207,688556,sell,75214,13.92,3141.99
20220207,002101,sell,94765,12.39,3522.18
20220207,603239,sell,62383,12.54,2347.07
20220207,603896,sell,21816,38.76,2536.62
20220207,300893,sell,79559,10.49,2504.21
20220207,000823,sell,78023,11.14,2607.74
20220207,002557,sell,18338,48.12,2647.06
20220207,300653,sell,25056,36.39,2735.13
20220207,300547,sell,77243,13.5,3127.6
20220207,603006,sell,105214,8.53,2690.86
20220207,000567,sell,186760,5.11,2862.28
20220207,300394,sell,56218,16.36,2759.26
20220207,603369,sell,20020,48.18,2893.82
20220207,600455,sell,42881,21.32,2742.67
20220207,002463,sell,64043,16.88,3244.04
20220207,002815,sell,63779,13.37,2557.97
20220207,603258,sell,35431,23.38,2484.73
20220207,600535,sell,70521,12.11,2562.68
20220207,688399,sell,12419,75.64,2818.22
20220207,605111,sell,16362,53.96,2648.77
20220207,605399,sell,43632,25.78,3374.6
20220207,600039,sell,150213,6.32,2848.84
20220207,000049,sell,20649,41.48,2569.65
20220207,601919,sell,90054,9.37,2530.09
20220207,603100,sell,69475,11.83,2465.31
20220207,688586,sell,60984,13.71,2508.92
20220207,603466,sell,52822,17.64,2795.32
20220207,002940,sell,57052,16.99,2907.46
20220207,600764,sell,27221,30.7,2506.9
20220207,603698,sell,55996,14.81,2487.77
20220207,002003,sell,122573,8.16,3002.28
20220207,002725,sell,95538,8.97,2571.43
20220207,603319,sell,75841,11.24,2558.38
20220207,605369,sell,16119,64.28,3108.4
20220207,600668,sell,63759,13.65,2610.61
20220207,300863,sell,47526,18.34,2615.31
20220207,603112,sell,84970,13.47,3433.1
20220207,601988,sell,415463,2.45,3058.63
20220207,603637,sell,105445,7.93,2508.33
20220207,002254,sell,55126,17.86,2954.41
20220207,601881,sell,98997,9.5,2822.56
20220207,688300,sell,26250,33.22,2616.33
20220207,002884,sell,48281,18.36,2658.67
20220207,600113,sell,156231,6.59,3090.76
20220207,002839,sell,255571,4.34,3329.33
20220207,002293,sell,90270,10.9,2952.93
20220207,300501,sell,81521,12.1,2958.53
20220207,000989,sell,71234,7.52,1606.64
20220207,002034,buy,53792,17.27,2786.95
20220207,600325,sell,28393,5.52,470.42
20220207,601339,buy,177781,5.23,2786.98
20220207,601728,sell,9266,3.47,96.56
20220207,688318,buy,21386,43.44,2786.93
20220207,600012,sell,29618,6.6,586.44
20220207,600033,sell,41086,2.49,307.08
20220207,603599,buy,5954,14.57,260.25
20220207,002818,buy,108547,8.56,2786.98
20220207,603095,sell,12020,11.86,427.77
20220207,000059,sell,11633,6.93,241.75
20220207,002677,sell,2988,13.58,121.75
20220207,603886,buy,1541,15.95,73.74
20220207,003025,sell,3692,11.7,129.54
20220207,000501,buy,93134,9.97,2786.98
20220207,601169,sell,26707,3.58,286.99
20220207,300660,buy,553,14.27,23.67
20220207,002763,buy,128404,7.23,2786.98
20220207,605377,sell,13959,9.02,377.59
20220207,603327,buy,12733,5.7,217.75
20220207,600603,buy,235786,3.94,2786.99
20220207,688298,buy,4,121.38,1.46
20220207,603005,buy,5519,25.87,428.25
20220207,601811,buy,120675,7.7,2786.98
20220207,002039,buy,79028,11.76,2786.96
20220207,300856,buy,6246,11.41,213.71
20220207,600449,sell,7946,11.29,269.1
20220207,000915,buy,35617,26.08,2786.95
20220207,600295,buy,104231,8.91,2786.98
20220207,600533,buy,295310,3.15,2786.99
20220207,601928,buy,154328,6.02,2786.99
20220207,601717,buy,94403,9.84,2786.96
20220207,002543,buy,150520,6.17,2786.99
