,nav
20220104,99700897.38554764
20220105,97500414.67808366
20220106,98794662.26543505
20220107,97168103.8703017
20220110,98197145.17332022
20220111,97279843.79700315
20220112,99036759.15687917
20220113,97017363.15723272
20220114,98454620.58750151
20220117,99812920.73623598
20220118,98534025.37896648
20220119,98273347.9222213
20220120,95739355.98634611
20220121,94436791.43738614
20220124,94672582.05611461
20220125,91236312.25024363
20220126,92351422.44934204
20220127,90274965.44016029
20220128,90601803.45635279
20220207,91613836.8385162
20220208,93328334.7833109
20220209,94592315.91532798
20220210,95109366.37128678
20220211,93334645.54884273
20220214,92539853.63843301
20220215,93023237.68510364
20220216,94274635.7887841
20220217,93692767.30448057
20220218,94808163.45013247
20220221,95654464.59552106
20220222,94349581.97838877
20220223,95325265.49434675
20220224,93112198.03920695
20220225,94362682.59582302
20220228,94873628.49053772
20220301,94973406.31106927
20220302,95228819.05574685
20220303,95736964.46329075
20220304,94768206.59979749
20220307,93658062.75451891
20220308,90305070.1294943
20220309,88869161.16695577
20220310,90511006.19977957
20220311,91394085.94761004
20220314,88895933.55345097
20220315,83744820.5430438
20220316,85658725.43325073
20220317,86843243.37123735
20220318,88536267.6970845
20220321,89068871.3270678
20220322,89281890.02913629
20220323,89505945.31072359
20220324,88950103.60769181
20220325,88376230.42258474
20220328,88795122.01467897
20220329,89060025.4197892
20220330,90235456.94027993
20220331,90175247.57051903
20220401,90489012.86712551
20220406,91479105.38144508
20220407,89825782.34560373
20220408,90299215.70198977
20220411,88253351.72751954
20220412,89143825.91490932
20220413,88101670.37160014
20220414,89652809.27754083
20220415,88736031.45350263
20220418,88359276.21485874
20220419,89265514.97242151
20220420,87331266.64415888
20220421,84355535.52393153
20220422,84473259.86186656
20220425,79305574.34514478
20220426,77125082.78670922
20220427,79486501.59647217
20220428,78716756.33411904
20220429,80970101.70275639
20220505,82200561.75726126
20220506,80441184.01809473
20220509,81319163.08587776
20220510,81940247.11483434
20220511,82062660.7891518
20220512,82290587.447544
20220513,83324482.85403131
20220516,83682545.20367785
20220517,83386118.39163981
20220518,83581354.31233345
20220519,83807733.17448461
20220520,85249509.63532753
20220523,86198949.84279677
20220524,83633624.77537848
20220525,84824376.28767253
20220526,85410542.08280972
20220527,85661014.38145785
20220530,86128537.07608837
20220531,86638188.00096044
20220601,86494410.46529602
20220602,86895405.81389946
20220606,87971367.62329452
20220607,87673736.6683875
20220608,87826676.08173032
20220609,87266150.10237895
20220610,88805831.8138698
20220613,88867872.14753452
20220614,89260477.70884928
20220615,88805764.67099425
20220616,88656324.46274705
20220617,89039120.77708338
20220620,88954033.09175411
20220621,88363039.88246816
20220622,87037193.29380405
20220623,88384971.64840908
20220624,89232322.5520893
20220627,89921946.52784713
20220628,90676981.32891455
20220629,89120635.47671671
20220630,90248996.88808277
20220701,90460439.1513516
20220704,91704349.9422925
20220705,91493892.15703908
20220706,90117725.08881493
20220707,91108771.04441756
20220708,90806590.2484527
20220711,89705830.5375592
20220712,88489163.62169316
20220713,89200823.97202411
20220714,89780568.54192781
20220715,89332952.14065358
20220718,91391174.235423
20220719,91715404.45172504
20220720,92697656.45936269
20220721,91886478.26920265
20220722,91739127.92603824
20220725,90723961.7611384
20220726,91709664.97135498
20220727,93034305.77739808
20220728,93566050.2237339
20220729,92945701.69162296
20220801,93256693.95797183
20220802,89792758.64111063
20220803,88750261.3781697
20220804,89293375.01719695
20220805,89582421.15760943
20220808,91599578.17458396
20220809,92355701.34067783
20220810,92922703.35452391
20220811,93371113.59548163
20220812,92410210.12766525
20220815,93771719.07800612
20220816,95243574.3284491
20220817,95298107.34567049
20220818,95840743.99209104
20220819,93551279.25296453
20220822,94252073.9203352
20220823,95283950.35102913
20220824,91845222.25324862
20220825,90876628.12680039
20220826,90244021.8580076
20220829,90741531.14364116
20220830,89228784.37111409
20220831,85591710.95573299
