date,code,direction,qty,price,cost
20220104,603599,buy,57807,17.3,3000.0
20220104,300660,buy,64554,15.49,3000.0
20220104,603005,buy,30397,32.9,2999.91
20220104,002270,buy,126897,7.88,2999.99
20220104,601728,buy,276710,3.61,2999.99
20220104,600742,buy,99762,10.02,2999.99
20220104,002483,buy,127750,7.83,2999.98
20220104,601199,buy,169801,5.89,2999.99
20220104,688298,buy,7649,130.73,2999.88
20220104,600285,buy,70450,14.19,2999.97
20220104,300519,buy,47439,21.08,2999.98
20220104,603886,buy,56701,17.64,3000.0
20220104,601169,buy,286058,3.5,2999.99
20220104,002191,buy,78131,12.8,2999.99
20220104,603239,buy,62383,16.03,2999.98
20220104,002101,buy,94765,10.55,2999.98
20220104,300358,buy,40670,24.59,2999.95
20220104,601985,buy,133367,7.5,3000.0
20220104,300893,buy,79559,12.57,2999.99
20220104,002677,buy,71387,14.01,2999.97
20220104,300547,buy,77243,12.95,2999.98
20220104,000059,buy,145742,6.86,2999.99
20220104,002056,buy,61468,16.27,2999.97
20220104,603258,buy,35431,28.22,2999.97
20220104,603279,buy,38376,26.06,2999.95
20220104,603466,buy,52822,18.93,2999.95
20220104,688556,buy,75214,13.3,2999.96
20220104,600750,buy,84759,11.8,2999.97
20220104,000823,buy,78023,12.82,3000.0
20220104,603896,buy,21816,45.84,2999.93
20220104,601339,buy,226630,4.41,3000.0
20220104,300394,buy,56218,17.79,2999.99
20220104,002557,buy,18338,54.53,3000.0
20220104,002463,buy,64043,15.61,2999.96
20220104,002068,buy,95419,10.48,2999.97
20220104,002815,buy,63779,15.68,2999.96
20220104,603568,buy,47278,21.15,2999.97
20220104,600873,buy,152716,6.55,2999.98
20220104,603369,buy,20020,49.95,2999.86
20220104,600325,buy,196606,5.09,2999.99
20220104,300653,buy,25056,39.91,2999.99
20220104,000049,buy,20649,48.43,2999.86
20220104,605111,buy,16362,61.12,2999.95
20220104,300033,buy,10461,95.59,2999.91
20220104,002416,buy,112804,8.86,2999.99
20220104,300031,buy,35543,28.13,2999.98
20220104,688399,buy,12419,80.52,2999.79
20220104,601107,buy,231557,4.32,2999.99
20220104,603698,buy,55996,17.86,2999.96
20220104,603100,buy,69475,14.39,2999.98
20220104,600223,buy,80288,12.46,2999.97
20220104,600535,buy,70521,14.18,2999.99
20220104,600874,buy,156825,6.38,3000.0
20220104,688586,buy,60984,16.4,2999.99
20220104,605399,buy,43632,22.92,2999.98
20220104,600764,buy,27221,36.74,2999.95
20220104,600015,buy,229938,4.35,2999.99
20220104,601881,buy,98997,10.1,2999.97
20220104,002725,buy,95538,10.47,3000.0
20220104,603801,buy,57919,17.27,2999.96
20220104,603305,buy,44623,22.41,2999.95
20220104,605369,buy,16119,62.04,3000.0
20220104,002884,buy,48281,20.71,2999.94
20220104,605009,buy,28446,35.15,2999.97
20220104,600039,buy,150213,6.66,3000.0
20220104,601677,buy,34063,29.36,2999.98
20220104,600449,buy,90241,11.08,2999.98
20220104,601988,buy,415463,2.41,3000.0
20220104,002026,buy,58118,17.21,2999.98
20220104,300398,buy,38616,25.9,2999.99
20220104,002839,buy,255571,3.91,3000.0
20220104,002254,buy,55126,18.14,3000.0
20220104,601919,buy,90054,11.1,2999.99
20220104,603112,buy,84970,11.77,2999.97
20220104,603319,buy,75841,13.19,2999.96
20220104,300192,buy,124252,8.05,2999.99
20220104,000989,buy,101511,9.85,2999.98
20220104,605166,buy,69796,14.33,2999.96
20220104,600566,buy,38139,26.22,2999.95
20220104,000923,buy,75883,13.18,2999.96
20220104,601515,buy,163117,6.13,2999.99
20220104,002670,buy,103734,9.64,2999.99
20220104,600814,buy,162914,6.14,2999.99
20220104,300852,buy,25461,39.28,2999.99
20220104,603589,buy,16276,61.44,2999.88
20220104,002860,buy,61435,16.28,2999.97
20220104,300058,buy,112914,8.86,2999.99
20220104,600741,buy,41295,24.22,3000.0
20220104,002487,buy,27183,36.79,2999.9
20220104,600562,buy,56454,17.71,2999.97
20220104,603606,buy,24291,41.17,2999.95
20220104,000915,buy,39682,25.2,2999.97
20220104,002950,buy,65606,15.24,2999.98
20220104,002106,buy,92571,10.8,2999.98
20220104,603228,buy,32137,31.12,2999.98
20220104,002984,buy,41018,24.38,2999.97
20220104,600668,buy,63759,15.68,2999.96
20220104,300251,buy,82322,12.15,2999.98
20220104,603203,buy,39537,25.29,2999.96
20220104,300286,buy,22972,30.55,2105.57
20220207,002191,sell,78131,14.84,3478.96
20220207,603239,sell,62383,12.54,2347.07
20220207,300358,sell,40670,19.7,2403.51
20220207,300893,sell,79559,10.49,2504.21
20220207,603258,sell,35431,23.38,2484.73
20220207,603466,sell,52822,17.64,2795.32
20220207,603896,sell,21816,38.76,2536.62
20220207,002557,sell,18338,48.12,2647.06
20220207,002463,sell,64043,16.88,3244.04
20220207,002815,sell,63779,13.37,2557.97
20220207,603369,sell,20020,48.18,2893.82
20220207,300653,sell,25056,36.39,2735.13
20220207,000049,sell,20649,41.48,2569.65
20220207,605111,sell,16362,53.96,2648.77
20220207,002416,sell,112804,7.86,2660.82
20220207,300031,sell,35543,20.28,2162.8
20220207,688399,sell,12419,75.64,2818.22
20220207,603698,sell,55996,14.81,2487.77
20220207,600535,sell,70521,12.11,2562.68
20220207,688586,sell,60984,13.71,2508.92
20220207,605399,sell,43632,25.78,3374.6
20220207,600764,sell,27221,30.7,2506.9
20220207,601881,sell,98997,9.5,2822.56
20220207,002725,sell,95538,8.97,2571.43
20220207,603801,sell,57919,15.8,2745.16
20220207,603305,sell,44623,21.27,2846.82
20220207,605369,sell,16119,64.28,3108.4
20220207,600039,sell,150213,6.32,2848.84
20220207,601988,sell,415463,2.45,3058.63
20220207,002026,sell,58118,16.22,2827.23
20220207,300398,sell,38616,22.87,2649.52
20220207,002839,sell,255571,4.34,3329.33
20220207,002254,sell,55126,17.86,2954.41
20220207,601919,sell,90054,9.37,2530.09
20220207,603112,sell,84970,13.47,3433.1
20220207,603319,sell,75841,11.24,2558.38
20220207,300192,sell,124252,6.32,2355.62
20220207,000989,sell,101511,7.52,2289.52
20220207,605166,sell,69796,12.63,2645.31
20220207,600566,sell,38139,20.37,2330.51
20220207,000923,sell,75883,15.33,3489.09
20220207,002670,sell,103734,8.75,2723.02
20220207,300852,sell,25461,31.89,2435.51
20220207,603589,sell,16276,63.52,3101.41
20220207,002860,sell,61435,14.2,2617.86
20220207,300058,sell,112914,6.05,2050.36
20220207,600741,sell,41295,23.81,2949.29
20220207,002487,sell,27183,40.51,3303.75
20220207,600562,sell,56454,14.83,2511.95
20220207,603606,sell,24291,46.68,3401.66
20220207,002950,sell,65606,13.01,2560.54
20220207,603228,sell,32137,31.51,3038.04
20220207,002984,sell,41018,21.93,2698.56
20220207,600668,sell,63759,13.65,2610.61
20220207,300251,sell,82322,9.34,2305.72
20220207,603203,sell,39537,24.06,2853.93
20220207,300286,sell,22972,27.81,1916.38
20220207,002034,buy,53144,17.27,2753.38
20220207,601339,sell,50991,5.23,799.36
20220207,601728,sell,12490,3.47,130.16
20220207,000501,buy,92011,9.97,2753.38
20220207,600223,buy,3743,10.92,122.64
20220207,600325,sell,30421,5.52,504.02
20220207,603599,buy,5186,14.57,226.68
20220207,603005,buy,5086,25.87,394.65
20220207,000059,sell,13250,6.93,275.36
20220207,601928,buy,152467,6.02,2753.38
20220207,603886,buy,839,15.95,40.15
20220207,688298,sell,87,121.38,31.68
20220207,300660,sell,231,14.27,9.89
20220207,601169,sell,29833,3.58,320.59
20220207,002677,sell,3812,13.58,155.32
20220207,002483,sell,3181,7.37,70.31
20220207,000915,sell,4493,26.08,351.57
20220207,002763,buy,126856,7.23,2753.38
20220207,600295,buy,102974,8.91,2753.37
20220207,600729,buy,43416,21.14,2753.38
20220207,002039,buy,78076,11.76,2753.39
20220207,601717,buy,93265,9.84,2753.37
20220207,600097,buy,92356,9.94,2753.39
20220207,300580,buy,75595,12.14,2753.38
20220207,600582,buy,270693,3.39,2753.38
20220207,600015,sell,24021,4.46,321.19
20220207,600050,buy,274718,3.34,2753.38
20220207,600874,sell,4727,6.03,85.57
20220207,000800,buy,105356,8.71,2753.39
20220207,603279,buy,2136,22.65,145.17
20220207,600873,sell,8664,6.37,165.6
20220207,600449,sell,8939,11.29,302.73
