code,day,E,upgraded,stayed_l1,fell
000019,20220104,E1,True,False,False
000021,20220104,E1,True,False,False
000025,20220104,E2,False,True,False
000063,20220104,E0,True,False,False
000153,20220104,E0,False,True,False
000333,20220104,E0,False,True,False
000338,20220104,E0,False,True,False
000402,20220104,E0,True,False,False
000425,20220104,E0,True,False,False
000501,20220104,E1,True,False,False
000510,20220104,E0,True,False,False
000550,20220104,E0,True,False,False
000581,20220104,E0,True,False,False
000612,20220104,E0,False,True,False
000625,20220104,E0,True,False,False
000630,20220104,E0,True,False,False
000635,20220104,E0,True,False,False
000636,20220104,E1,False,True,False
000651,20220104,E0,True,False,False
000659,20220104,E0,True,False,False
000661,20220104,E0,True,False,False
000680,20220104,E1,True,False,False
000731,20220104,E0,True,False,False
000739,20220104,E0,False,True,False
000751,20220104,E0,True,False,False
000783,20220104,E1,False,True,False
000789,20220104,E0,True,False,False
000799,20220104,E0,True,False,False
000800,20220104,E0,True,False,False
000807,20220104,E0,True,False,False
000825,20220104,E1,False,True,False
000830,20220104,E0,True,False,False
000837,20220104,E0,True,False,False
000848,20220104,E0,True,False,False
000858,20220104,E1,False,True,False
000869,20220104,E0,True,False,False
000898,20220104,E0,True,False,False
000902,20220104,E1,True,False,False
000912,20220104,E0,True,False,False
000913,20220104,E0,True,False,False
000915,20220104,E1,True,False,False
000932,20220104,E0,True,False,False
000949,20220104,E0,False,True,False
000951,20220104,E1,False,True,False
000959,20220104,E0,False,True,False
000962,20220104,E1,True,False,False
000968,20220104,E0,True,False,False
000980,20220104,E0,False,True,False
001201,20220104,E2,True,False,False
001205,20220104,E2,False,True,False
001213,20220104,E2,False,True,False
001215,20220104,E2,False,True,False
001216,20220104,E2,False,True,False
001217,20220104,E2,False,True,False
001219,20220104,E2,False,True,False
001317,20220104,E2,False,True,False
002007,20220104,E1,False,True,False
002027,20220104,E0,True,False,False
002034,20220104,E0,True,False,False
002035,20220104,E0,True,False,False
002039,20220104,E0,True,False,False
002064,20220104,E0,False,True,False
002067,20220104,E0,True,False,False
002079,20220104,E0,True,False,False
002097,20220104,E1,True,False,False
002110,20220104,E0,True,False,False
002114,20220104,E1,True,False,False
002119,20220104,E0,True,False,False
002125,20220104,E0,True,False,False
002136,20220104,E0,True,False,False
002145,20220104,E0,False,True,False
002151,20220104,E0,True,False,False
002155,20220104,E0,False,True,False
002167,20220104,E0,True,False,False
002184,20220104,E0,False,True,False
002194,20220104,E0,True,False,False
002201,20220104,E0,False,True,False
002217,20220104,E0,True,False,False
002233,20220104,E0,True,False,False
002237,20220104,E0,True,False,False
002239,20220104,E0,False,True,False
002248,20220104,E0,True,False,False
002267,20220104,E0,True,False,False
002281,20220104,E0,True,False,False
002283,20220104,E0,False,True,False
002285,20220104,E0,False,True,False
002287,20220104,E0,True,False,False
002294,20220104,E0,True,False,False
002297,20220104,E1,True,False,False
002304,20220104,E0,True,False,False
002326,20220104,E0,False,True,False
002329,20220104,E0,True,False,False
002346,20220104,E0,False,True,False
002351,20220104,E0,False,True,False
002369,20220104,E0,False,True,False
002371,20220104,E0,True,False,False
002378,20220104,E0,True,False,False
002379,20220104,E0,True,False,False
002390,20220104,E0,True,False,False
002410,20220104,E1,True,False,False
002414,20220104,E0,False,True,False
002415,20220104,E0,True,False,False
002418,20220104,E1,False,True,False
002422,20220104,E1,True,False,False
002429,20220104,E0,False,True,False
002442,20220104,E0,False,True,False
002448,20220104,E0,True,False,False
002454,20220104,E1,True,False,False
002455,20220104,E0,False,True,False
002479,20220104,E0,True,False,False
002481,20220104,E0,True,False,False
002497,20220104,E0,True,False,False
002508,20220104,E0,True,False,False
002510,20220104,E1,True,False,False
002518,20220104,E0,False,True,False
002521,20220104,E0,True,False,False
002522,20220104,E0,False,True,False
002536,20220104,E0,False,True,False
002558,20220104,E0,True,False,False
002568,20220104,E0,False,True,False
002570,20220104,E1,True,False,False
002571,20220104,E1,False,True,False
002606,20220104,E0,False,True,False
002611,20220104,E0,True,False,False
002623,20220104,E0,False,True,False
002627,20220104,E0,True,False,False
002636,20220104,E0,False,True,False
002651,20220104,E0,False,True,False
002658,20220104,E0,False,True,False
002690,20220104,E0,False,True,False
002698,20220104,E1,True,False,False
002732,20220104,E0,False,True,False
002745,20220104,E0,False,True,False
002753,20220104,E1,True,False,False
002799,20220104,E1,True,False,False
002821,20220104,E1,False,True,False
002828,20220104,E1,True,False,False
002833,20220104,E0,True,False,False
002842,20220104,E0,True,False,False
002845,20220104,E0,False,True,False
002858,20220104,E1,False,True,False
002895,20220104,E0,True,False,False
002901,20220104,E0,False,True,False
002978,20220104,E0,False,True,False
002979,20220104,E0,False,True,False
003015,20220104,E0,True,False,False
003016,20220104,E0,False,True,False
003026,20220104,E1,False,True,False
003035,20220104,E1,False,True,False
003043,20220104,E2,True,False,False
300002,20220104,E0,False,True,False
300006,20220104,E0,False,True,False
300040,20220104,E0,False,True,False
300046,20220104,E0,False,True,False
300049,20220104,E1,True,False,False
300062,20220104,E0,True,False,False
300067,20220104,E1,True,False,False
300106,20220104,E0,False,True,False
300133,20220104,E0,False,True,False
300141,20220104,E0,True,False,False
300145,20220104,E1,True,False,False
300160,20220104,E1,True,False,False
300172,20220104,E0,True,False,False
300179,20220104,E0,True,False,False
300193,20220104,E0,False,True,False
300200,20220104,E1,True,False,False
300221,20220104,E0,False,True,False
300223,20220104,E1,False,True,False
300226,20220104,E0,False,True,False
300233,20220104,E0,True,False,False
300239,20220104,E0,True,False,False
300241,20220104,E0,True,False,False
300252,20220104,E0,True,False,False
300258,20220104,E0,False,True,False
300275,20220104,E1,True,False,False
300283,20220104,E1,True,False,False
300285,20220104,E0,True,False,False
300296,20220104,E0,False,True,False
300307,20220104,E1,False,True,False
300319,20220104,E1,False,True,False
300334,20220104,E0,True,False,False
300345,20220104,E0,True,False,False
300346,20220104,E0,True,False,False
300347,20220104,E0,True,False,False
300350,20220104,E0,True,False,False
300357,20220104,E0,True,False,False
300382,20220104,E0,False,True,False
300401,20220104,E0,True,False,False
300402,20220104,E0,True,False,False
300403,20220104,E1,False,True,False
300404,20220104,E1,True,False,False
300405,20220104,E0,False,True,False
300427,20220104,E0,True,False,False
300429,20220104,E1,True,False,False
300450,20220104,E1,False,True,False
300453,20220104,E0,True,False,False
300454,20220104,E0,False,True,False
300458,20220104,E0,False,True,False
300482,20220104,E0,True,False,False
300483,20220104,E0,True,False,False
300488,20220104,E0,True,False,False
300503,20220104,E0,True,False,False
300505,20220104,E0,True,False,False
300508,20220104,E0,False,True,False
300529,20220104,E0,True,False,False
300548,20220104,E1,True,False,False
300549,20220104,E0,True,False,False
300554,20220104,E0,True,False,False
300558,20220104,E0,False,True,False
300563,20220104,E0,True,False,False
300576,20220104,E0,True,False,False
300585,20220104,E0,True,False,False
300587,20220104,E1,False,True,False
300595,20220104,E0,True,False,False
300601,20220104,E0,False,True,False
300614,20220104,E2,False,True,False
300621,20220104,E0,True,False,False
300623,20220104,E0,True,False,False
300626,20220104,E0,True,False,False
300628,20220104,E0,True,False,False
300639,20220104,E0,True,False,False
300642,20220104,E0,False,True,False
300643,20220104,E1,True,False,False
300661,20220104,E0,True,False,False
300671,20220104,E0,True,False,False
300676,20220104,E0,False,True,False
300677,20220104,E1,False,True,False
300685,20220104,E0,False,True,False
300693,20220104,E1,False,True,False
300706,20220104,E1,True,False,False
300708,20220104,E0,False,True,False
300710,20220104,E1,False,True,False
300719,20220104,E0,True,False,False
300720,20220104,E0,True,False,False
300724,20220104,E0,True,False,False
300725,20220104,E0,False,True,False
300727,20220104,E1,False,True,False
300747,20220104,E1,False,True,False
300758,20220104,E1,False,True,False
300760,20220104,E1,True,False,False
300762,20220104,E1,False,True,False
300772,20220104,E0,False,True,False
300780,20220104,E0,True,False,False
300782,20220104,E0,True,False,False
