day,code,state,priority,paradigm,fwd6
20220104,000019,REJECT,IGNORE,consumer,0.1309799183807567
20220104,000021,REJECT,IGNORE,tech_growth,-0.2818832989809715
20220104,000025,REJECT,IGNORE,other,0.5583063386202634
20220104,000026,REJECT,IGNORE,consumer,-0.1539518799324946
20220104,000027,REJECT,IGNORE,defensive,-0.18332658059708
20220104,000029,REJECT,IGNORE,defensive,0.5075949367088606
20220104,000030,REJECT,IGNORE,other,-0.1822502060575931
20220104,000036,REJECT,IGNORE,defensive,-0.0449438202247191
20220104,000049,REJECT,IGNORE,other,-0.195412477800334
20220104,000058,REJECT,IGNORE,consumer,-0.1322105342320355
20220104,000059,REJECT,IGNORE,cycle_manufacturing,-0.1648398513267399
20220104,000063,REJECT,IGNORE,tech_growth,-0.2342465290976291
20220104,000089,REJECT,IGNORE,defensive,0.0013351134846462
20220104,000099,REJECT,IGNORE,defensive,-0.1236949095222543
20220104,000153,REJECT,IGNORE,consumer,-0.3042749371332774
20220104,000155,REJECT,IGNORE,defensive,-0.0603727714748784
20220104,000333,REJECT,IGNORE,consumer,-0.1951100557451598
20220104,000338,REJECT,IGNORE,other,-0.2730356133408705
20220104,000400,REJECT,IGNORE,other,-0.2344776325836773
20220104,000402,REJECT,IGNORE,defensive,0.041958041958042
20220104,000404,REJECT,IGNORE,consumer,0.1559439061748571
20220104,000408,REJECT,IGNORE,cycle_manufacturing,-0.0757575757575758
20220104,000415,REJECT,IGNORE,defensive,-0.2666666666666666
20220104,000420,REJECT,IGNORE,cycle_manufacturing,-0.11090573012939
20220104,000423,REJECT,IGNORE,consumer,-0.2339304531085353
20220104,000425,REJECT,IGNORE,cycle_manufacturing,-0.0827814569536423
20220104,000501,REJECT,IGNORE,consumer,0.0491684360725508
20220104,000507,REJECT,IGNORE,defensive,-0.0715372907153728
20220104,000510,REJECT,IGNORE,cycle_manufacturing,-0.0233722871452422
20220104,000513,REJECT,IGNORE,consumer,-0.1144160804698457
20220104,000519,REJECT,IGNORE,tech_growth,0.3230198019801982
20220104,000525,REJECT,IGNORE,cycle_manufacturing,0.5909090909090908
20220104,000534,REJECT,IGNORE,consumer,-0.2318358291735995
20220104,000538,REJECT,IGNORE,consumer,-0.1791618187989581
20220104,000546,REJECT,IGNORE,other,0.360032935487345
20220104,000550,REJECT,IGNORE,other,-0.0135052179251073
20220104,000552,REJECT,IGNORE,cycle_manufacturing,0.1594135630259572
20220104,000557,REJECT,IGNORE,defensive,0.1034482758620689
20220104,000559,REJECT,IGNORE,other,-0.0400512577700642
20220104,000565,REJECT,IGNORE,cycle_manufacturing,-0.0359459357674827
20220104,000568,REJECT,IGNORE,consumer,-0.0203080114905841
20220104,000581,REJECT,IGNORE,other,-0.0467650527323399
20220104,000582,REJECT,IGNORE,defensive,-0.0455022475163554
20220104,000591,REJECT,IGNORE,defensive,-0.2461677186654645
20220104,000592,REJECT,IGNORE,consumer,-0.2012383900928792
20220104,000593,REJECT,IGNORE,defensive,-0.1261538461538461
20220104,000596,REJECT,IGNORE,consumer,0.0416975044126941
20220104,000601,REJECT,IGNORE,defensive,-0.0193798449612403
20220104,000603,REJECT,IGNORE,cycle_manufacturing,-0.1022997620935766
20220104,000612,REJECT,IGNORE,cycle_manufacturing,-0.1889682211116509
20220104,000617,REJECT,IGNORE,defensive,-0.0896946564885495
20220104,000625,REJECT,IGNORE,other,0.5487170951019427
20220104,000629,REJECT,IGNORE,cycle_manufacturing,-0.0233644859813085
20220104,000630,REJECT,IGNORE,cycle_manufacturing,-0.0509916595981833
20220104,000635,REJECT,IGNORE,cycle_manufacturing,-0.2296730930427494
20220104,000636,REJECT,IGNORE,tech_growth,-0.3701276302173163
20220104,000650,REJECT,IGNORE,consumer,-0.3013291678827862
20220104,000651,REJECT,IGNORE,consumer,-0.0838671459004026
20220104,000655,REJECT,IGNORE,cycle_manufacturing,-0.1500456758595477
20220104,000657,REJECT,IGNORE,cycle_manufacturing,0.0427069645203679
20220104,000659,REJECT,IGNORE,other,-0.262529832935561
20220104,000661,REJECT,IGNORE,consumer,-0.1498359866668598
20220104,000663,REJECT,IGNORE,consumer,-0.2518756698821007
20220104,000680,REJECT,IGNORE,cycle_manufacturing,0.3302325581395349
20220104,000686,REJECT,IGNORE,defensive,-0.2102003407546517
20220104,000688,REJECT,IGNORE,cycle_manufacturing,0.1653196179279941
20220104,000690,REJECT,IGNORE,defensive,-0.27471807356571
