date,code,direction,qty,price,cost
20220104,601728,buy,276710,3.61,2999.99
20220104,688981,buy,18818,53.14,2999.97
20220104,300660,buy,64554,15.49,3000.0
20220104,603037,buy,135782,7.36,2999.99
20220104,600050,buy,282069,3.55,2999.99
20220104,603005,buy,30397,32.9,2999.91
20220104,300139,buy,79744,12.54,2999.97
20220104,300580,buy,83633,11.96,2999.99
20220104,600033,buy,413969,2.42,3000.0
20220104,688378,buy,47918,20.87,2999.96
20220104,002296,buy,135020,7.41,2999.99
20220104,601169,buy,286058,3.5,2999.99
20220104,600015,buy,229938,4.35,2999.99
20220104,002818,buy,112973,8.85,2999.99
20220104,603881,buy,58251,17.17,2999.99
20220104,603327,buy,150236,6.66,2999.99
20220104,300394,buy,56218,17.79,2999.99
20220104,002406,buy,171681,5.82,2999.99
20220104,000429,buy,168012,5.95,3000.0
20220104,603926,buy,85485,11.7,2999.97
20220104,603095,buy,90332,11.07,2999.99
20220104,301000,buy,76974,12.99,2999.98
20220104,688318,buy,25577,39.1,2999.97
20220104,601518,buy,546622,1.83,3000.0
20220104,603006,buy,105214,9.5,3000.0
20220104,601229,buy,184702,5.41,3000.0
20220104,000823,buy,78023,12.82,3000.0
20220104,688678,buy,62668,15.96,2999.99
20220104,002195,buy,396797,2.52,3000.0
20220104,603637,buy,105445,9.48,2999.98
20220104,601339,buy,226630,4.41,3000.0
20220104,603239,buy,62383,16.03,2999.98
20220104,600020,buy,337275,2.96,3000.0
20220104,603685,buy,80097,12.48,2999.97
20220104,603809,buy,132644,7.54,2999.99
20220104,002106,buy,92571,10.8,2999.98
20220104,601811,buy,125419,7.97,2999.99
20220104,600012,buy,170375,5.87,2999.99
20220104,601985,buy,133367,7.5,3000.0
20220104,600901,buy,352205,2.84,3000.0
20220104,002839,buy,255571,3.91,3000.0
20220104,688618,buy,49344,20.27,2999.96
20220104,000807,buy,97231,10.28,3000.0
20220104,600742,buy,99762,10.02,2999.99
20220104,300738,buy,95180,10.51,2999.99
20220104,300893,buy,79559,12.57,2999.99
20220104,600353,buy,188650,5.3,2999.99
20220104,601928,buy,151572,6.6,2999.99
20220104,603599,buy,57807,17.3,3000.0
20220104,002048,buy,51303,19.49,2999.97
20220104,603698,buy,55996,17.86,2999.96
20220104,688313,buy,78623,12.72,2999.97
20220104,300458,buy,50111,19.96,3000.0
20220104,601988,buy,415463,2.41,3000.0
20220104,000425,buy,186315,5.37,3000.0
20220104,003025,buy,83126,12.03,2999.97
20220104,601019,buy,189115,5.29,2999.99
20220104,605100,buy,83315,12.0,2999.99
20220104,600016,buy,327157,3.06,3000.0
20220104,002913,buy,27798,35.97,2999.95
20220104,000975,buy,125541,7.97,2999.98
20220104,002379,buy,305896,3.27,2999.99
20220104,002483,buy,127750,7.83,2999.98
20220104,002039,buy,72705,13.75,2999.97
20220104,603002,buy,149099,6.71,2999.98
20220104,300303,buy,167166,5.98,2999.99
20220104,603100,buy,69475,14.39,2999.98
20220104,601919,buy,90054,11.1,2999.99
20220104,300570,buy,58262,17.16,2999.99
20220104,000612,buy,142114,7.04,2999.98
20220104,002725,buy,95538,10.47,3000.0
20220104,600039,buy,150213,6.66,3000.0
20220104,002636,buy,69648,14.36,2999.98
20220104,300493,buy,125443,7.97,2999.98
20220104,300913,buy,92153,10.85,2999.99
20220104,688668,buy,20915,47.81,2999.93
20220104,002815,buy,63779,15.68,2999.96
20220104,000800,buy,105586,9.47,2999.98
20220104,600377,buy,136781,7.31,3000.0
20220104,600219,buy,267219,3.74,2999.99
20220104,002757,buy,76451,13.08,2999.97
20220104,300921,buy,92359,10.83,2999.99
20220104,003816,buy,352051,2.84,2999.99
20220104,601717,buy,102643,9.74,2999.97
20220104,603890,buy,77766,12.86,2999.97
20220104,300547,buy,77243,12.95,2999.98
20220104,002722,buy,64913,15.41,3000.0
20220104,002101,buy,94765,10.55,2999.98
20220104,603386,buy,68247,14.65,2999.99
20220104,002428,buy,82472,12.13,2999.98
20220104,601199,buy,169801,5.89,2999.99
20220104,002677,buy,71387,14.01,2999.97
20220104,002034,buy,63648,15.71,2999.96
20220104,300304,buy,149381,6.69,2999.98
20220104,603955,buy,73906,13.53,2999.99
20220104,002281,buy,43779,22.84,2999.98
20220104,600582,buy,268736,3.72,2999.99
20220104,601336,buy,29944,33.4,2999.97
20220104,600283,buy,106948,9.35,2999.98
20220104,002792,buy,57560,12.19,2104.26
20220207,688981,sell,18818,49.97,2821.01
20220207,300139,sell,79744,11.11,2657.87
20220207,688378,sell,47918,16.77,2410.88
20220207,603881,sell,58251,15.68,2739.63
20220207,300394,sell,56218,16.36,2759.26
20220207,000429,sell,168012,6.19,3117.57
20220207,688318,sell,25577,43.44,3333.09
20220207,603006,sell,105214,8.53,2690.86
20220207,601229,sell,184702,5.38,2979.08
20220207,688678,sell,62668,13.21,2483.63
20220207,002195,sell,396797,2.45,2918.29
20220207,603637,sell,105445,7.93,2508.33
20220207,603239,sell,62383,12.54,2347.07
20220207,603685,sell,80097,11.0,2644.28
20220207,601811,sell,125419,7.7,2896.55
20220207,600012,sell,170375,6.6,3373.43
20220207,601985,sell,133367,6.69,2676.47
20220207,002839,sell,255571,4.34,3329.33
20220207,688618,sell,49344,22.34,3307.04
20220207,300738,sell,95180,9.65,2754.47
20220207,300893,sell,79559,10.49,2504.21
20220207,600353,sell,188650,5.1,2884.46
20220207,601928,sell,151572,6.02,2737.22
20220207,002048,sell,51303,17.8,2740.18
20220207,603698,sell,55996,14.81,2487.77
20220207,688313,sell,78623,11.03,2601.84
20220207,300458,sell,50111,17.14,2577.02
20220207,601988,sell,415463,2.45,3058.63
20220207,000425,sell,186315,5.14,2870.86
20220207,605100,sell,83315,11.29,2821.69
20220207,600016,sell,327157,3.06,3007.67
20220207,000975,sell,125541,7.54,2839.93
20220207,002379,sell,305896,3.18,2918.18
20220207,002483,sell,127750,7.37,2823.72
20220207,603002,sell,149099,6.0,2685.47
20220207,300303,sell,167166,4.98,2496.17
20220207,603100,sell,69475,11.83,2465.31
20220207,300570,sell,58262,14.89,2602.42
20220207,002725,sell,95538,8.97,2571.43
20220207,600039,sell,150213,6.32,2848.84
20220207,002636,sell,69648,11.51,2404.41
20220207,300493,sell,125443,7.26,2732.66
20220207,300913,sell,92153,9.79,2705.51
20220207,688668,sell,20915,39.94,2506.29
20220207,002815,sell,63779,13.37,2557.97
20220207,600377,sell,136781,7.63,3130.43
20220207,002757,sell,76451,11.8,2705.44
20220207,300921,sell,92359,14.48,4011.38
20220207,003816,sell,352051,2.67,2818.46
20220207,601717,sell,102643,9.84,3030.22
20220207,603890,sell,77766,12.27,2862.69
20220207,300547,sell,77243,13.5,3127.6
20220207,002722,sell,64913,14.93,2907.35
20220207,603386,sell,68247,12.6,2578.77
20220207,002428,sell,82472,13.22,3271.14
20220207,601199,sell,169801,5.53,2815.45
20220207,300304,sell,149381,5.81,2605.14
20220207,603955,sell,73906,13.71,3039.84
20220207,002281,sell,43779,19.67,2583.11
20220207,601336,sell,29944,32.79,2945.42
20220207,600283,sell,106948,9.04,2900.85
20220207,002792,sell,57560,11.34,1957.48
20220207,601728,sell,6308,3.47,65.73
20220207,603599,buy,6659,14.57,291.06
20220207,600050,sell,922,3.34,9.24
20220207,002677,sell,2231,13.58,90.9
20220207,605208,buy,87349,10.75,2817.79
20220207,600533,buy,298576,3.15,2817.81
20220207,002818,sell,3224,8.56,82.78
20220207,002296,sell,801,7.0,16.82
20220207,600033,sell,36962,2.49,276.26
20220207,603587,buy,65543,14.33,2817.81
20220207,000800,buy,2235,8.71,58.41
20220207,600325,buy,170073,5.52,2817.81
20220207,600742,buy,4095,9.04,111.1
20220207,002406,buy,6012,5.29,95.34
20220207,603037,buy,12413,6.34,236.02
20220207,600015,sell,19203,4.46,256.77
20220207,000501,buy,94164,9.97,2817.8
20220207,300660,buy,1273,14.27,54.49
20220207,000830,buy,80032,11.74,2817.78
20220207,603327,buy,14535,5.7,248.57
20220207,002649,buy,83852,11.2,2817.81
20220207,600548,buy,111571,8.42,2817.8
20220207,000883,buy,222516,4.22,2817.8
20220207,601828,buy,109527,8.58,2817.81
20220207,688699,buy,10810,86.88,2817.68
20220207,600223,buy,85997,10.92,2817.81
20220207,603095,sell,11154,11.86,396.95
20220207,301000,buy,1433,11.98,51.5
20220207,002978,buy,26182,35.87,2817.81
20220207,000612,buy,5925,6.34,112.78
20220207,002191,buy,63282,14.84,2817.77
20220207,300443,buy,21282,44.13,2817.73
20220207,002106,buy,6023,9.53,172.14
20220207,601677,buy,32604,28.81,2817.79
20220207,600997,buy,172064,5.46,2817.81
20220207,300358,buy,47680,19.7,2817.79
20220207,601169,sell,23838,3.58,256.16
20220207,603797,buy,157402,5.97,2817.8
20220207,605108,buy,51814,18.13,2817.77
20220207,601518,sell,29461,1.82,160.52
20220207,300916,buy,37366,25.14,2817.79
20220207,000690,buy,210334,4.47,2817.81
20220207,000949,buy,189322,4.96,2817.81
20220207,003025,sell,2813,11.7,98.7
20220207,603529,buy,54622,17.2,2817.79
20220207,605277,buy,84886,11.07,2817.81
20220207,601019,sell,5389,5.11,82.65
20220207,002508,buy,31144,30.16,2817.73
20220207,600483,buy,102218,9.19,2817.79
20220207,002753,buy,113965,8.24,2817.81
20220207,603258,buy,40180,23.38,2817.78
20220207,002585,buy,40357,23.27,2817.79
20220207,688068,buy,10867,86.43,2817.75
20220207,002101,sell,18951,12.39,704.36
20220207,600020,sell,14633,2.91,127.8
20220207,688298,buy,7738,121.38,2817.67
20220207,002034,sell,9260,17.27,479.76
