,nav
20220104,99700897.36286715
20220105,98514816.14192146
20220106,99246588.01579042
20220107,98228637.31144592
20220110,98900560.28575341
20220111,98447378.76241149
20220112,99281232.62588292
20220113,98760002.99596342
20220114,98026680.00853424
20220117,100197379.17979296
20220118,99882526.23423539
20220119,99938260.5182655
20220120,97771546.49351427
20220121,96754523.01267894
20220124,96631117.81618287
20220125,92863304.45732264
20220126,93687306.97887503
20220127,91404015.85884586
20220128,92164189.65425232
20220207,93720856.746411
20220208,95227433.29417774
20220209,96349036.96971253
20220210,96646596.98021527
20220211,95571869.22935408
20220214,94529558.06016608
20220215,94504702.00821508
20220216,95933195.9317288
20220217,95691187.86709838
20220218,96717215.80437681
20220221,97762826.4416524
20220222,96741363.48079546
20220223,97641275.30998886
20220224,95494551.30375472
20220225,96164823.2057974
20220228,96326589.42109074
20220301,96652812.66542552
20220302,96836824.96876788
20220303,97364264.07238097
20220304,96149276.01342298
20220307,94855066.18822926
20220308,91643194.10884172
20220309,89858384.5982924
20220310,91195147.49327691
20220311,91898529.10803366
20220314,89523543.82447739
20220315,84267156.95139074
20220316,86563157.49128895
20220317,87804845.9089632
20220318,89317004.52982381
20220321,89454798.05469958
20220322,89892626.69471961
20220323,90079477.01816711
20220324,89204568.3858834
20220325,88901787.29722516
20220328,89246543.00525479
20220329,88677675.39079204
20220330,90105201.13334629
20220331,90481127.44469023
20220401,91186222.45546177
20220406,92170215.3521299
20220407,90350304.83628406
20220408,90271695.09667495
20220411,87935638.69017147
20220412,89268756.08073102
20220413,88391709.98808879
20220414,89602820.10834466
20220415,88333707.19676973
20220418,88485889.10652496
20220419,89031565.10784835
20220420,88239399.45548657
20220421,85818138.49252963
20220422,86149455.78657255
20220425,80394619.54050317
20220426,78003766.70045997
20220427,80114876.4886785
20220428,79263439.97168697
20220429,81860699.67570497
20220505,83183594.3949682
20220506,81603862.62143034
20220509,82268912.2014213
20220510,83194719.29562585
20220511,83562951.80018991
20220512,83783210.95962478
20220513,84704323.01765856
20220516,85015744.49088031
20220517,84863670.59152287
20220518,85251921.54263118
20220519,85694425.76371394
20220520,87253955.80144438
20220523,88131130.84304237
20220524,85112040.42489779
20220525,86528861.15972084
20220526,86956353.73977378
20220527,87065490.80153829
20220530,87517607.59420332
20220531,88066892.8951665
20220601,88201999.29694724
20220602,88712518.50262776
20220606,89962986.76484047
20220607,89730863.66489731
20220608,89609382.12640125
20220609,88712131.57120436
20220610,90358012.12677363
20220613,90376151.40573485
20220614,90774756.83458619
20220615,90654848.34466834
20220616,90495062.05785055
20220617,90931098.8054953
20220620,91167774.46072201
20220621,90264236.11212803
20220622,89180577.31756125
20220623,90604152.76214537
20220624,91469707.45143488
20220627,92044626.3170016
20220628,92926358.50382328
20220629,91408110.53970546
20220630,91813636.98883659
20220701,91601726.03042766
20220704,91630187.37368028
20220705,91284146.68910865
20220706,90022892.05584718
20220707,90683266.24997605
20220708,90529017.02279334
20220711,89618314.84614776
20220712,88679167.00113691
20220713,89354934.77136464
20220714,89538868.85530427
