date,code,direction,qty,price,cost
20220104,601728,buy,276710,3.61,2999.99
20220104,600050,buy,282069,3.55,2999.99
20220104,002296,buy,135020,7.41,2999.99
20220104,688981,buy,18818,53.14,2999.97
20220104,300660,buy,64554,15.49,3000.0
20220104,600033,buy,413969,2.42,3000.0
20220104,601169,buy,286058,3.5,2999.99
20220104,603037,buy,135782,7.36,2999.99
20220104,688313,buy,78623,12.72,2999.97
20220104,603881,buy,58251,17.17,2999.99
20220104,300139,buy,79744,12.54,2999.97
20220104,603005,buy,30397,32.9,2999.91
20220104,688378,buy,47918,20.87,2999.96
20220104,000429,buy,168012,5.95,3000.0
20220104,300738,buy,95180,10.51,2999.99
20220104,688618,buy,49344,20.27,2999.96
20220104,002818,buy,112973,8.85,2999.99
20220104,601518,buy,546622,1.83,3000.0
20220104,600015,buy,229938,4.35,2999.99
20220104,603327,buy,150236,6.66,2999.99
20220104,300394,buy,56218,17.79,2999.99
20220104,601811,buy,125419,7.97,2999.99
20220104,603095,buy,90332,11.07,2999.99
20220104,300580,buy,83633,11.96,2999.99
20220104,601985,buy,133367,7.5,3000.0
20220104,300913,buy,92153,10.85,2999.99
20220104,600901,buy,352205,2.84,3000.0
20220104,600012,buy,170375,5.87,2999.99
20220104,601229,buy,184702,5.41,3000.0
20220104,002839,buy,255571,3.91,3000.0
20220104,600016,buy,327157,3.06,3000.0
20220104,301000,buy,76974,12.99,2999.98
20220104,601928,buy,151572,6.6,2999.99
20220104,002195,buy,396797,2.52,3000.0
20220104,002913,buy,27798,35.97,2999.95
20220104,688318,buy,25577,39.1,2999.97
20220104,000823,buy,78023,12.82,3000.0
20220104,601919,buy,90054,11.1,2999.99
20220104,601339,buy,226630,4.41,3000.0
20220104,600020,buy,337275,2.96,3000.0
20220104,002406,buy,171681,5.82,2999.99
20220104,603926,buy,85485,11.7,2999.97
20220104,601019,buy,189115,5.29,2999.99
20220104,688678,buy,62668,15.96,2999.99
20220104,603637,buy,105445,9.48,2999.98
20220104,300893,buy,79559,12.57,2999.99
20220104,688668,buy,20915,47.81,2999.93
20220104,300570,buy,58262,17.16,2999.99
20220104,603685,buy,80097,12.48,2999.97
20220104,003816,buy,352051,2.84,2999.99
20220104,300938,buy,69716,14.34,2999.98
20220104,300951,buy,25325,39.49,2999.95
20220104,003031,buy,24322,41.11,2999.94
20220104,603006,buy,105214,9.5,3000.0
20220104,605100,buy,83315,12.0,2999.99
20220104,300458,buy,50111,19.96,3000.0
20220104,000807,buy,97231,10.28,3000.0
20220104,002039,buy,72705,13.75,2999.97
20220104,600377,buy,136781,7.31,3000.0
20220104,600742,buy,99762,10.02,2999.99
20220104,603599,buy,57807,17.3,3000.0
20220104,603239,buy,62383,16.03,2999.98
20220104,300921,buy,92359,10.83,2999.99
20220104,601336,buy,29944,33.4,2999.97
20220104,601988,buy,415463,2.41,3000.0
20220104,603100,buy,69475,14.39,2999.98
20220104,603809,buy,132644,7.54,2999.99
20220104,002106,buy,92571,10.8,2999.98
20220104,000612,buy,142114,7.04,2999.98
20220104,002379,buy,305896,3.27,2999.99
20220104,000949,buy,181124,5.52,2999.99
20220104,600603,buy,246305,4.06,2999.99
20220104,002281,buy,43779,22.84,2999.98
20220104,603698,buy,55996,17.86,2999.96
20220104,600694,buy,87149,11.47,2999.97
20220104,002792,buy,82062,12.19,3000.0
20220104,601107,buy,231557,4.32,2999.99
20220104,000425,buy,186315,5.37,3000.0
20220104,002670,buy,103734,9.64,2999.99
20220104,300547,buy,77243,12.95,2999.98
20220104,300620,buy,29850,33.5,2999.95
20220104,605111,buy,16362,61.12,2999.95
20220104,600919,buy,220221,4.54,3000.0
20220104,003025,buy,83126,12.03,2999.97
20220104,601199,buy,169801,5.89,2999.99
20220104,000975,buy,125541,7.97,2999.98
20220104,601900,buy,130942,7.64,2999.99
20220104,600219,buy,267219,3.74,2999.99
20220104,603002,buy,149099,6.71,2999.98
20220104,605259,buy,60137,16.63,2999.96
20220104,000800,buy,105586,9.47,2999.98
20220104,002254,buy,55126,18.14,3000.0
20220104,300294,buy,27426,36.46,2999.95
20220104,600888,buy,136339,7.33,2999.98
20220104,300303,buy,167166,5.98,2999.99
20220104,600039,buy,150213,6.66,3000.0
20220104,002428,buy,82472,12.13,2999.98
20220104,300689,buy,48104,20.79,2999.94
20220104,002722,buy,64913,15.41,3000.0
20220104,300398,buy,27087,25.9,2104.33
20220207,688981,sell,18818,49.97,2821.01
20220207,688313,sell,78623,11.03,2601.84
20220207,603881,sell,58251,15.68,2739.63
20220207,300394,sell,56218,16.36,2759.26
20220207,300580,sell,83633,12.14,3046.14
20220207,300913,sell,92153,9.79,2705.51
20220207,600012,sell,170375,6.6,3373.43
20220207,002195,sell,396797,2.45,2918.29
20220207,688678,sell,62668,13.21,2483.63
20220207,603637,sell,105445,7.93,2508.33
20220207,300893,sell,79559,10.49,2504.21
20220207,688668,sell,20915,39.94,2506.29
20220207,300570,sell,58262,14.89,2602.42
20220207,603685,sell,80097,11.0,2644.28
20220207,300951,sell,25325,32.94,2502.56
20220207,003031,sell,24322,43.52,3175.27
20220207,603006,sell,105214,8.53,2690.86
20220207,605100,sell,83315,11.29,2821.69
20220207,300458,sell,50111,17.14,2577.02
20220207,600377,sell,136781,7.63,3130.43
20220207,603239,sell,62383,12.54,2347.07
20220207,300921,sell,92359,14.48,4011.38
20220207,601988,sell,415463,2.45,3058.63
20220207,603809,sell,132644,7.5,2985.0
20220207,002379,sell,305896,3.18,2918.18
20220207,002281,sell,43779,19.67,2583.11
20220207,603698,sell,55996,14.81,2487.77
20220207,002792,sell,82062,11.34,2790.74
20220207,601107,sell,231557,4.07,2824.94
20220207,002670,sell,103734,8.75,2723.02
20220207,300547,sell,77243,13.5,3127.6
20220207,300620,sell,29850,29.74,2663.04
20220207,605111,sell,16362,53.96,2648.77
20220207,600919,sell,220221,5.17,3417.08
20220207,601199,sell,169801,5.53,2815.45
20220207,000975,sell,125541,7.54,2839.93
20220207,601900,sell,130942,7.02,2758.77
20220207,603002,sell,149099,6.0,2685.47
20220207,300294,sell,27426,33.05,2718.91
20220207,300303,sell,167166,4.98,2496.17
20220207,600039,sell,150213,6.32,2848.84
20220207,002428,sell,82472,13.22,3271.14
20220207,300689,sell,48104,20.58,2969.91
20220207,002722,sell,64913,14.93,2907.35
20220207,300398,sell,27087,22.87,1858.49
20220207,601728,sell,6508,3.47,67.82
20220207,600050,sell,1129,3.34,11.32
20220207,000612,buy,5816,6.34,110.7
20220207,600219,sell,11943,3.68,131.73
20220207,600033,sell,37240,2.49,278.34
20220207,601169,sell,24032,3.58,258.25
20220207,000807,sell,9050,10.64,288.98
20220207,002296,sell,900,7.0,18.89
