from,to,from_clean,horizon
L1,L3,L1,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L0,L0,L0,4个月
L3,L3,L3,4个月
L2,L1,L2,4个月
L2,L1,L2,4个月
L3,L1,L3,4个月
L3,L1,L3,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L0,L0,L0,4个月
L3,L2,L3,4个月
L1,L1,L1,4个月
L0,L0,L0,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L3,L3,L3,4个月
L3,L3,L3,4个月
L3,L5,L3,4个月
L2,L2,L2,4个月
L3,L1,L3,4个月
L1,L2,L1,4个月
L2,L1,L2,4个月
L3,L1,L3,4个月
L2,L3,L2,4个月
L2,L2,L2,4个月
L2,L3,L2,4个月
L1,L3,L1,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L2,L1,L2,4个月
L2,L2,L2,4个月
L2,L2,L2,4个月
L0,L0,L0,4个月
L0,L0,L0,4个月
L1,L1,L1,4个月
L0,L0,L0,4个月
L1,L2,L1,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L1,L2,L1,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L2,L1,L2,4个月
L3,L3,L3,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L3,L3,L3,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L2,L2,L2,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L0,L0,L0,4个月
L3,L3,L3,4个月
L1,L2,L1,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L3,L3,L3,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L3,L2,L3,4个月
L1,L1,L1,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L1,L2,L1,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L3,L1,L3,4个月
L2,L2,L2,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L1,L3,L1,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L1,L3,L1,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L2,L2,L2,4个月
L1,L2,L1,4个月
L3,L2,L3,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L3,L5,L3,4个月
L2,L2,L2,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L3,L3,L3,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L3,L1,L3,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L3,L1,L3,4个月
L2,L3,L2,4个月
L1,L3,L1,4个月
L3,L3,L3,4个月
L3,L5,L3,4个月
L3,L1,L3,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L1,L1,L1,4个月
L1,L3,L1,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L2,L1,L2,4个月
L0,L0,L0,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L3,L1,L3,4个月
L2,L2,L2,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L1,L2,L1,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L3,L3,L3,4个月
L0,L0,L0,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L2,L3,L2,4个月
L1,L3,L1,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L1,L3,L1,4个月
L2,L1,L2,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L0,L0,L0,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L3,L2,L3,4个月
L3,L2,L3,4个月
L1,L2,L1,4个月
L3,L2,L3,4个月
L2,L1,L2,4个月
L2,L2,L2,4个月
L3,L5,L3,4个月
L1,L3,L1,4个月
L3,L2,L3,4个月
L2,L1,L2,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L3,L2,L3,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L0,L0,L0,4个月
L1,L3,L1,4个月
L2,L1,L2,4个月
L3,L2,L3,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L3,L3,L3,4个月
L1,L1,L1,4个月
L0,L0,L0,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L1,L3,L1,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L3,L2,L3,4个月
L3,L2,L3,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L1,L3,L1,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L2,L2,L2,4个月
L3,L1,L3,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L0,L0,L0,4个月
L2,L2,L2,4个月
L3,L2,L3,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L1,L2,L1,4个月
L3,L5,L3,4个月
L3,L3,L3,4个月
L3,L1,L3,4个月
L3,L2,L3,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L2,L3,L2,4个月
L2,L2,L2,4个月
L3,L3,L3,4个月
L1,L2,L1,4个月
L1,L2,L1,4个月
L2,L1,L2,4个月
L2,L1,L2,4个月
L3,L2,L3,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L3,L3,L3,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L0,L0,L0,4个月
L1,L2,L1,4个月
L2,L1,L2,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L0,L0,L0,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L2,L2,L2,4个月
L0,L0,L0,4个月
L2,L2,L2,4个月
L3,L3,L3,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L3,L2,L3,4个月
L1,L3,L1,4个月
L2,L2,L2,4个月
L3,L1,L3,4个月
L0,L0,L0,4个月
L0,L0,L0,4个月
L3,L3,L3,4个月
L2,L2,L2,4个月
L1,L1,L1,4个月
L2,L3,L2,4个月
L3,L3,L3,4个月
L1,L1,L1,4个月
L3,L2,L3,4个月
L3,L3,L3,4个月
L1,L2,L1,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L1,L3,L1,4个月
L2,L3,L2,4个月
L0,L0,L0,4个月
L3,L1,L3,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L1,L2,L1,4个月
L3,L2,L3,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L3,L3,L3,4个月
L3,L3,L3,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L1,L3,L1,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L3,L3,L3,4个月
L3,L3,L3,4个月
L3,L1,L3,4个月
L3,L1,L3,4个月
L0,L0,L0,4个月
L0,L0,L0,4个月
L0,L0,L0,4个月
L3,L1,L3,4个月
L3,L3,L3,4个月
L2,L1,L2,4个月
L0,L0,L0,4个月
L3,L1,L3,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L2,L2,L2,4个月
L2,L2,L2,4个月
L0,L0,L0,4个月
L2,L3,L2,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L1,L2,L1,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L3,L1,L3,4个月
L3,L3,L3,4个月
L1,L1,L1,4个月
L1,L2,L1,4个月
L2,L3,L2,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L2,L1,L2,4个月
L2,L3,L2,4个月
L0,L0,L0,4个月
L2,L3,L2,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L2,L1,L2,4个月
L3,L1,L3,4个月
L3,L1,L3,4个月
L3,L2,L3,4个月
L1,L1,L1,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L1,L3,L1,4个月
L3,L1,L3,4个月
L3,L1,L3,4个月
L3,L2,L3,4个月
L1,L3,L1,4个月
L1,L2,L1,4个月
L2,L2,L2,4个月
L2,L2,L2,4个月
L2,L1,L2,4个月
L3,L5,L3,4个月
L3,L1,L3,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L1,L1,L1,4个月
L3,L5,L3,4个月
L3,L5,L3,4个月
L2,L1,L2,4个月
L2,L2,L2,4个月
L2,L3,L2,4个月
L3,L5,L3,4个月
