code,date,roe_weighted,ocf_to_revenue
000002,2012-03-31,2.6,0.1237
000002,2012-06-30,6.83,0.0918
000002,2012-09-30,9.28,-0.0757
000002,2012-12-31,21.45,0.0361
000002,2013-03-31,2.49,-0.1702
000002,2013-06-30,6.91,-0.2366
000002,2013-09-30,9.31,-0.1902
000002,2013-12-31,21.54,0.0142
000002,2014-03-31,1.97,-0.5874
000002,2014-06-30,6.13,0.0838
000002,2014-09-30,8.28,0.2725
000002,2014-12-31,19.17,0.285
000002,2015-03-31,0.73,-1.7252
000002,2015-06-30,5.41,-0.1354
000002,2015-09-30,7.69,-0.0588
000002,2015-12-31,19.14,0.0821
000002,2016-03-31,0.83,-0.7341
000002,2016-06-30,5.2,0.3449
000002,2016-09-30,8.13,0.3672
000002,2016-12-31,19.68,0.1645
000002,2017-03-31,0.61,-0.5123
000002,2017-06-30,6.22,0.313
000002,2017-09-30,9.53,0.1427
000002,2017-12-31,22.8,0.3389
000002,2018-03-31,0.66,-0.9003
000002,2018-06-30,6.51,-0.0402
000002,2018-09-30,10.04,-0.1462
000002,2018-12-31,23.24,0.1129
000002,2019-03-31,0.72,-0.5522
000002,2019-06-30,7.26,0.0635
000002,2019-09-30,11.16,0.0077
000002,2019-12-31,22.47,0.1242
000002,2020-03-31,0.66,-0.0618
000002,2020-06-30,6.44,0.1545
000002,2020-09-30,10.13,0.1382
000002,2020-12-31,20.13,0.1269
000002,2021-03-31,0.57,0.2711
000002,2021-06-30,4.79,0.0406
000002,2021-09-30,7.31,0.0045
000002,2021-12-31,9.78,0.0091
000002,2022-03-31,0.6,-0.2116
000002,2022-06-30,5.06,0.0401
000002,2022-09-30,7.12,-0.0124
000002,2022-12-31,9.48,0.0055
000002,2023-03-31,0.6,0.1022
000002,2023-06-30,3.94,0.0093
000002,2023-09-30,5.45,0.0008
000002,2023-12-31,4.91,0.0084
000002,2024-03-31,-0.14,-0.153
000002,2024-06-30,-4.001,-0.0363
000002,2024-09-30,-7.4,-0.022
000002,2024-12-31,-21.82,0.0111
000002,2025-03-31,-3.13,-0.1525
000002,2025-06-30,-6.07,-0.0289
000002,2025-09-30,-14.81,-0.0365
000002,2025-12-31,-55.42,-0.0042
000002,2026-03-31,-5.23,-0.0748
000001,2012-03-31,4.57,
000001,2012-06-30,8.82,
000001,2012-09-30,13.05,
000001,2012-12-31,16.78,
000001,2013-03-31,4.14,
000001,2013-06-30,8.52,
000001,2013-09-30,12.96,
000001,2013-12-31,16.57,
000001,2014-03-31,4.41,
000001,2014-06-30,8.62,
000001,2014-09-30,13.16,
000001,2014-12-31,16.35,
000001,2015-03-31,4.21,
000001,2015-06-30,8.41,
000001,2015-09-30,12.39,
000001,2015-12-31,14.94,
000001,2016-03-31,3.7,
000001,2016-06-30,7.35,
000001,2016-09-30,,
000001,2016-12-31,,
000001,2017-03-31,2.89,
000001,2017-06-30,6.21,
000001,2017-09-30,9.6,
000001,2017-12-31,11.62,
000001,2018-03-31,2.79,
000001,2018-06-30,6.13,
000001,2018-09-30,9.48,
000001,2018-12-31,11.49,
000001,2019-03-31,2.91,
000001,2019-06-30,6.32,
000001,2019-09-30,9.71,
000001,2019-12-31,11.3,
