code,report_year,category,top5_customer_ratio,top1_customer_ratio
300274,2023,annual,34.39,
300308,2023,annual,73.71,
301206,2023,annual,36.12,
300261,2023,annual,47.15,
300248,2023,annual,7.91,
002639,2023,annual,19.65,
300753,2023,annual,46.79,
002585,2023,annual,21.9,
002766,2023,annual,83.6,
002927,2023,annual,27.92,
300991,2023,annual,44.35,
000768,2023,annual,97.44,
002825,2023,annual,10.04,
000663,2023,annual,75.9,
000980,2023,annual,33.99,
300031,2023,annual,55.05,
301022,2023,annual,72.71,
002702,2023,annual,13.11,
301558,2023,annual,62.35,
300710,2023,annual,53.73,
300033,2023,annual,11.18,
