l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
sw3_430303,房地产综合服务,sw2_430300,房地产服务,sw1_430000,房地产
sw3_240602,镍,sw2_240600,能源金属,sw1_240000,有色金属
sw3_720706,其他数字媒体,sw2_720700,数字媒体,sw1_720000,传媒
sw3_770302,医美服务,sw2_770300,医疗美容,sw1_770000,美容护理
sw3_770301,医美耗材,sw2_770300,医疗美容,sw1_770000,美容护理
sw3_770202,品牌化妆品,sw2_770200,化妆品,sw1_770000,美容护理
sw3_770201,化妆品制造及其他,sw2_770200,化妆品,sw1_770000,美容护理
sw3_770102,洗护用品,sw2_770100,个护用品,sw1_770000,美容护理
sw3_770101,生活用纸,sw2_770100,个护用品,sw1_770000,美容护理
sw3_760201,环保设备Ⅲ,sw2_760200,环保设备Ⅱ,sw1_760000,环保
sw3_760104,综合环境治理,sw2_760100,环境治理,sw1_760000,环保
sw3_760103,固废治理,sw2_760100,环境治理,sw1_760000,环保
sw3_760102,水务及水治理,sw2_760100,环境治理,sw1_760000,环保
sw3_760101,大气治理,sw2_760100,环境治理,sw1_760000,环保
sw3_750303,其他石化,sw2_750300,炼化及贸易,sw1_750000,石油石化
sw3_750302,油品石化贸易,sw2_750300,炼化及贸易,sw1_750000,石油石化
sw3_750301,炼油化工,sw2_750300,炼化及贸易,sw1_750000,石油石化
sw3_750202,油气及炼化工程,sw2_750200,油服工程,sw1_750000,石油石化
sw3_750201,油田服务,sw2_750200,油服工程,sw1_750000,石油石化
sw3_750101,油气开采Ⅲ,sw2_750100,油气开采Ⅱ,sw1_750000,石油石化
sw3_740201,焦炭Ⅲ,sw2_740200,焦炭Ⅱ,sw1_740000,煤炭
sw3_740102,焦煤,sw2_740100,煤炭开采,sw1_740000,煤炭
sw3_740101,动力煤,sw2_740100,煤炭开采,sw1_740000,煤炭
sw3_730207,其他通信设备,sw2_730200,通信设备,sw1_730000,通信
sw3_730206,通信终端及配件,sw2_730200,通信设备,sw1_730000,通信
sw3_730205,通信线缆及配套,sw2_730200,通信设备,sw1_730000,通信
sw3_730204,通信网络设备及器件,sw2_730200,通信设备,sw1_730000,通信
sw3_730104,通信应用增值服务,sw2_730100,通信服务,sw1_730000,通信
sw3_730103,通信工程及服务,sw2_730100,通信服务,sw1_730000,通信
sw3_730102,电信运营商,sw2_730100,通信服务,sw1_730000,通信
sw3_721001,电视广播Ⅲ,sw2_721000,电视广播Ⅱ,sw1_720000,传媒
sw3_720902,大众出版,sw2_720900,出版,sw1_720000,传媒
sw3_720901,教育出版,sw2_720900,出版,sw1_720000,传媒
sw3_720705,文字媒体,sw2_720700,数字媒体,sw1_720000,传媒
sw3_720704,门户网站,sw2_720700,数字媒体,sw1_720000,传媒
sw3_720703,图片媒体,sw2_720700,数字媒体,sw1_720000,传媒
sw3_720701,视频媒体,sw2_720700,数字媒体,sw1_720000,传媒
sw3_720602,院线,sw2_720600,影视院线,sw1_720000,传媒
sw3_720601,影视动漫制作,sw2_720600,影视院线,sw1_720000,传媒
sw3_720502,广告媒体,sw2_720500,广告营销,sw1_720000,传媒
sw3_720501,营销代理,sw2_720500,广告营销,sw1_720000,传媒
sw3_720401,游戏Ⅲ,sw2_720400,游戏Ⅱ,sw1_720000,传媒
sw3_710402,横向通用软件,sw2_710400,软件开发,sw1_710000,计算机
sw3_710401,垂直应用软件,sw2_710400,软件开发,sw1_710000,计算机
sw3_710301,IT服务Ⅲ,sw2_710300,IT服务Ⅱ,sw1_710000,计算机
sw3_710103,其他计算机设备,sw2_710100,计算机设备,sw1_710000,计算机
sw3_710102,安防设备,sw2_710100,计算机设备,sw1_710000,计算机
sw3_650501,军工电子Ⅲ,sw2_650500,军工电子Ⅱ,sw1_650000,国防军工
sw3_640704,其他自动化设备,sw2_640700,自动化设备,sw1_640000,机械设备
sw3_640703,激光设备,sw2_640700,自动化设备,sw1_640000,机械设备
sw3_640702,工控设备,sw2_640700,自动化设备,sw1_640000,机械设备
sw3_640701,机器人,sw2_640700,自动化设备,sw1_640000,机械设备
sw3_640602,工程机械器件,sw2_640600,工程机械,sw1_640000,机械设备
sw3_640601,工程机械整机,sw2_640600,工程机械,sw1_640000,机械设备
sw3_640108,金属制品,sw2_640100,通用设备,sw1_640000,机械设备
sw3_640107,仪器仪表,sw2_640100,通用设备,sw1_640000,机械设备
sw3_630805,线缆部件及其他,sw2_630800,电网设备,sw1_630000,电力设备
sw3_630804,电工仪器仪表,sw2_630800,电网设备,sw1_630000,电力设备
sw3_630803,电网自动化设备,sw2_630800,电网设备,sw1_630000,电力设备
sw3_630802,配电设备,sw2_630800,电网设备,sw1_630000,电力设备
sw3_630801,输变电设备,sw2_630800,电网设备,sw1_630000,电力设备
sw3_630705,蓄电池及其他电池,sw2_630700,电池,sw1_630000,电力设备
sw3_630704,燃料电池,sw2_630700,电池,sw1_630000,电力设备
sw3_630703,锂电专用设备,sw2_630700,电池,sw1_630000,电力设备
sw3_630702,电池化学品,sw2_630700,电池,sw1_630000,电力设备
sw3_630701,锂电池,sw2_630700,电池,sw1_630000,电力设备
sw3_630602,风电零部件,sw2_630600,风电设备,sw1_630000,电力设备
sw3_630601,风电整机,sw2_630600,风电设备,sw1_630000,电力设备
sw3_630505,光伏加工设备,sw2_630500,光伏设备,sw1_630000,电力设备
sw3_630504,光伏辅材,sw2_630500,光伏设备,sw1_630000,电力设备
sw3_630503,逆变器,sw2_630500,光伏设备,sw1_630000,电力设备
sw3_630502,光伏电池组件,sw2_630500,光伏设备,sw1_630000,电力设备
sw3_630501,硅料硅片,sw2_630500,光伏设备,sw1_630000,电力设备
sw3_620601,工程咨询服务Ⅲ,sw2_620600,工程咨询服务Ⅱ,sw1_620000,建筑装饰
sw3_620307,园林工程,sw2_620300,基础建设,sw1_620000,建筑装饰
sw3_620306,基建市政工程,sw2_620300,基础建设,sw1_620000,建筑装饰
sw3_610305,涂料,sw2_610300,装修建材,sw1_610000,建筑材料
sw3_610304,防水材料,sw2_610300,装修建材,sw1_610000,建筑材料
sw3_610202,玻纤制造,sw2_610200,玻璃玻纤,sw1_610000,建筑材料
sw3_610102,水泥制品,sw2_610100,水泥,sw1_610000,建筑材料
sw3_490308,其他多元金融,sw2_490300,多元金融,sw1_490000,非银金融
sw3_490307,资产管理,sw2_490300,多元金融,sw1_490000,非银金融
