screening_date,code,n_green,n_yellow,n_red,n_unknown,pattern,total_score,fwd_12m_return
20210630,002719,1,0,1,1,1G0Y1R,1.0,-25.91
20210630,002136,2,1,0,0,2G1Y0R,2.5,7.42
20210630,300657,1,1,1,0,1G1Y1R,1.5,-17.58
20210630,002588,2,1,0,0,2G1Y0R,2.5,30.56
20210630,002767,0,1,1,1,0G1Y1R,0.5,-31.97
20210630,600061,2,1,0,0,2G1Y0R,2.5,-23.3
20210630,300384,1,2,0,0,1G2Y0R,2.0,-1.67
20210630,000955,1,1,0,1,1G1Y0R,1.5,-15.98
20210630,600610,1,0,2,0,1G0Y2R,1.0,45.92
20210630,300825,2,1,0,0,2G1Y0R,2.5,-13.48
20210630,300173,2,0,1,0,2G0Y1R,2.0,-9.43
20210630,688135,1,1,0,1,1G1Y0R,1.5,-43.49
20210630,000523,0,2,1,0,0G2Y1R,1.0,12.57
20210630,600536,2,1,0,0,2G1Y0R,2.5,-7.22
20210630,300248,2,1,0,0,2G1Y0R,2.5,0.37
20210630,603233,2,0,0,1,2G0Y0R,2.0,-25.41
20210630,300070,1,1,1,0,1G1Y1R,1.5,-28.28
20210630,300552,0,0,3,0,0G0Y3R,0.0,-7.42
20210630,600706,1,1,1,0,1G1Y1R,1.5,80.48
20210630,000815,2,1,0,0,2G1Y0R,2.5,93.32
20210630,603338,1,1,1,0,1G1Y1R,1.5,-12.62
20210630,000762,1,1,1,0,1G1Y1R,1.5,110.42
20210630,000766,1,1,1,0,1G1Y1R,1.5,2.95
20210630,002065,1,2,0,0,1G2Y0R,2.0,-19.79
20210630,600620,1,0,1,1,1G0Y1R,1.0,56.94
20210630,300826,2,0,1,0,2G0Y1R,2.0,-13.25
20210630,603019,2,1,0,0,2G1Y0R,2.5,5.77
20210630,300683,1,1,1,0,1G1Y1R,1.5,-5.31
20210630,000407,2,1,0,0,2G1Y0R,2.5,-8.37
20210630,300420,1,1,1,0,1G1Y1R,1.5,-33.95
20210630,002219,2,1,0,0,2G1Y0R,2.5,29.18
20210630,600833,1,1,0,1,1G1Y0R,1.5,19.64
20210630,000895,0,2,1,0,0G2Y1R,1.0,-3.93
20210630,600748,0,3,0,0,0G3Y0R,1.5,-16.41
20210630,600248,1,2,0,0,1G2Y0R,2.0,28.5
20210630,600693,2,1,0,0,2G1Y0R,2.5,4.78
20210630,603028,2,1,0,0,2G1Y0R,2.5,-6.38
20210630,000598,2,1,0,0,2G1Y0R,2.5,0.01
20210630,002910,1,2,0,0,1G2Y0R,2.0,1.17
20210630,600868,0,2,1,0,0G2Y1R,1.0,-0.34
20210630,600897,1,1,1,0,1G1Y1R,1.5,-0.49
20210630,688656,2,0,1,0,2G0Y1R,2.0,-46.68
20210630,600410,1,1,1,0,1G1Y1R,1.5,-24.54
20210630,601595,0,1,1,1,0G1Y1R,0.5,-3.86
20210630,600877,1,0,1,1,1G0Y1R,1.0,-29.24
20210630,000591,2,0,1,0,2G0Y1R,2.0,36.43
20210630,603655,3,0,0,0,3G0Y0R,3.0,-7.1
20210630,300629,2,0,1,0,2G0Y1R,2.0,23.45
20210630,603038,1,1,1,0,1G1Y1R,1.5,-32.81
20210630,300603,0,1,2,0,0G1Y2R,0.5,9.55
20210630,300976,1,0,1,1,1G0Y1R,1.0,-43.16
20210630,600180,1,2,0,0,1G2Y0R,2.0,35.11
20210630,002516,2,1,0,0,2G1Y0R,2.5,-2.24
20210630,600505,2,1,0,0,2G1Y0R,2.5,9.36
20210630,000913,2,1,0,0,2G1Y0R,2.5,-1.73
20210630,600063,2,1,0,0,2G1Y0R,2.5,50.16
20210630,603557,1,1,1,0,1G1Y1R,1.5,-31.25
20210630,300972,0,2,0,1,0G2Y0R,1.0,-23.06
20210630,000045,1,2,0,0,1G2Y0R,2.0,-15.48
20210630,600598,2,0,1,0,2G0Y1R,2.0,1.25
20210630,688258,2,1,0,0,2G1Y0R,2.5,-33.5
20210630,300689,0,1,1,1,0G1Y1R,0.5,-34.04
20210630,300081,1,1,1,0,1G1Y1R,1.5,15.43
20210630,300775,2,1,0,0,2G1Y0R,2.5,26.05
20210630,002292,1,1,1,0,1G1Y1R,1.5,-27.62
20210630,002036,1,1,1,0,1G1Y1R,1.5,16.81
20210630,605166,1,2,0,0,1G2Y0R,2.0,39.73
20210930,300369,2,0,1,0,2G0Y1R,2.0,-54.41
20210930,002437,2,1,0,0,2G1Y0R,2.5,-7.36
20210930,002548,1,0,2,0,1G0Y2R,1.0,5.04
20210930,000032,1,1,1,0,1G1Y1R,1.5,-32.86
20210930,688188,3,0,0,0,3G0Y0R,3.0,-39.13
20210930,000882,2,0,1,0,2G0Y1R,2.0,-11.58
20210930,603181,2,1,0,0,2G1Y0R,2.5,21.62
20210930,601615,2,1,0,0,2G1Y0R,2.5,-2.46
20210930,600600,1,2,0,0,1G2Y0R,2.0,33.4
20210930,603328,1,0,2,0,1G0Y2R,1.0,-17.28
20210930,600815,1,2,0,0,1G2Y0R,2.0,-10.0
20210930,601566,1,2,0,0,1G2Y0R,2.0,-51.71
20210930,300167,0,1,2,0,0G1Y2R,0.5,-11.87
20210930,688330,2,1,0,0,2G1Y0R,2.5,-4.97
20210930,002766,0,2,1,0,0G2Y1R,1.0,4.89
20210930,002746,0,2,1,0,0G2Y1R,1.0,11.62
20210930,300521,3,0,0,0,3G0Y0R,3.0,-35.5
20210930,688313,0,2,1,0,0G2Y1R,1.0,-18.01
20210930,603392,3,0,0,0,3G0Y0R,3.0,-25.22
20210930,000758,1,1,1,0,1G1Y1R,1.5,-21.99
20210930,000633,1,2,0,0,1G2Y0R,2.0,30.16
20210930,000078,1,2,0,0,1G2Y0R,2.0,1.57
20210930,002080,2,1,0,0,2G1Y0R,2.5,-42.11
20210930,000550,2,1,0,0,2G1Y0R,2.5,-5.65
20210930,300424,0,3,0,0,0G3Y0R,1.5,-22.56
20210930,000790,1,1,1,0,1G1Y1R,1.5,-11.85
20210930,601778,1,2,0,0,1G2Y0R,2.0,-47.03
20210930,600326,0,2,1,0,0G2Y1R,1.0,-29.03
20210930,300375,0,2,0,1,0G2Y0R,1.0,-14.14
20210930,600397,1,2,0,0,1G2Y0R,2.0,5.87
20210930,300275,1,1,1,0,1G1Y1R,1.5,-12.19
20210930,300484,2,1,0,0,2G1Y0R,2.5,-22.61
20210930,603113,1,1,0,1,1G1Y0R,1.5,-43.29
20210930,603813,1,1,1,0,1G1Y1R,1.5,6.18
20210930,300731,1,0,2,0,1G0Y2R,1.0,-41.76
20210930,300656,2,0,1,0,2G0Y1R,2.0,-6.01
20210930,002669,1,1,1,0,1G1Y1R,1.5,-7.28
20210930,600833,0,2,0,1,0G2Y0R,1.0,10.56
20210930,002457,2,0,1,0,2G0Y1R,2.0,2.91
20210930,002156,2,1,0,0,2G1Y0R,2.5,-20.51
20210930,300164,0,2,1,0,0G2Y1R,1.0,-19.08
20210930,300254,1,2,0,0,1G2Y0R,2.0,-0.32
20210930,300643,2,1,0,0,2G1Y0R,2.5,14.5
20210930,002936,0,2,0,1,0G2Y0R,1.0,-23.82
20210930,300195,3,0,0,0,3G0Y0R,3.0,-20.78
20210930,603115,2,1,0,0,2G1Y0R,2.5,-13.4
20210930,600203,1,2,0,0,1G2Y0R,2.0,-28.66
20210930,300270,0,1,2,0,0G1Y2R,0.5,-17.92
20210930,600988,1,0,1,1,1G0Y1R,1.0,32.12
20210930,002829,2,0,1,0,2G0Y1R,2.0,0.3
20210930,300181,2,0,0,1,2G0Y0R,2.0,8.82
20210930,002778,2,1,0,0,2G1Y0R,2.5,-19.72
20210930,605589,1,1,0,1,1G1Y0R,1.5,-44.15
20210930,002041,2,1,0,0,2G1Y0R,2.5,-7.35
20210930,600329,2,0,1,0,2G0Y1R,2.0,-11.87
20210930,002345,3,0,0,0,3G0Y0R,3.0,-11.57
20210930,603353,0,1,2,0,0G1Y2R,0.5,-25.93
20210930,300005,3,0,0,0,3G0Y0R,3.0,-14.82
20210930,601890,2,0,1,0,2G0Y1R,2.0,-1.32
20210930,002275,2,1,0,0,2G1Y0R,2.5,7.07
20210930,605298,0,2,1,0,0G2Y1R,1.0,-11.82
20210930,301013,1,0,2,0,1G0Y2R,1.0,-42.35
20211231,002191,2,0,1,0,2G0Y1R,2.0,-50.49
20211231,688116,2,1,0,0,2G1Y0R,2.5,-48.31
20211231,601908,2,0,1,0,2G0Y1R,2.0,-27.86
20211231,300793,1,2,0,0,1G2Y0R,2.0,-19.49
20211231,002060,1,2,0,0,1G2Y0R,2.0,25.31
20211231,301126,1,2,0,0,1G2Y0R,2.0,-34.26
20211231,300725,2,1,0,0,2G1Y0R,2.5,-43.31
20211231,300694,0,0,3,0,0G0Y3R,0.0,-11.09
20211231,000895,0,2,1,0,0G2Y1R,1.0,-12.29
20211231,000905,2,1,0,0,2G1Y0R,2.5,-3.4
20211231,300545,1,2,0,0,1G2Y0R,2.0,-31.13
20211231,003022,2,1,0,0,2G1Y0R,2.5,-15.85
20211231,002953,0,1,2,0,0G1Y2R,0.5,9.72
20211231,300920,1,1,1,0,1G1Y1R,1.5,-52.71
20211231,002885,0,1,2,0,0G1Y2R,0.5,14.45
20211231,688100,2,1,0,0,2G1Y0R,2.5,-32.1
20211231,600742,2,1,0,0,2G1Y0R,2.5,-27.77
20211231,603259,3,0,0,0,3G0Y0R,3.0,-31.35
20211231,002917,1,0,2,0,1G0Y2R,1.0,10.98
20211231,600439,1,1,1,0,1G1Y1R,1.5,-10.63
20211231,300705,3,0,0,0,3G0Y0R,3.0,-2.1
20211231,300858,2,0,1,0,2G0Y1R,2.0,-5.09
20211231,603960,0,1,2,0,0G1Y2R,0.5,-51.09
20211231,002692,2,0,1,0,2G0Y1R,2.0,12.35
20211231,600037,0,1,2,0,0G1Y2R,0.5,-5.69
20211231,605001,0,1,2,0,0G1Y2R,0.5,-4.78
20211231,600461,0,3,0,0,0G3Y0R,1.5,-9.08
20211231,300935,1,1,1,0,1G1Y1R,1.5,-34.3
20211231,300673,0,3,0,0,0G3Y0R,1.5,-13.65
20211231,002266,2,0,1,0,2G0Y1R,2.0,-44.11
20211231,601005,1,2,0,0,1G2Y0R,2.0,-24.4
20211231,603916,0,2,1,0,0G2Y1R,1.0,-36.63
20211231,000782,2,1,0,0,2G1Y0R,2.5,-28.97
20211231,300638,2,0,1,0,2G0Y1R,2.0,-50.44
20211231,603181,2,1,0,0,2G1Y0R,2.5,-25.29
20211231,605300,1,1,1,0,1G1Y1R,1.5,-17.19
20211231,002969,2,1,0,0,2G1Y0R,2.5,-26.18
20211231,002683,0,2,1,0,0G2Y1R,1.0,-9.35
20211231,002743,1,2,0,0,1G2Y0R,2.0,-24.39
20211231,603077,3,0,0,0,3G0Y0R,3.0,-10.57
20211231,002963,1,1,1,0,1G1Y1R,1.5,-20.24
20211231,002395,1,2,0,0,1G2Y0R,2.0,-6.17
20211231,000915,2,1,0,0,2G1Y0R,2.5,53.29
20211231,002175,1,2,0,0,1G2Y0R,2.0,46.12
20211231,603727,1,1,1,0,1G1Y1R,1.5,-43.0
20211231,688625,2,0,1,0,2G0Y1R,2.0,-12.14
20211231,603386,2,1,0,0,2G1Y0R,2.5,-29.93
20211231,300065,1,2,0,0,1G2Y0R,2.0,-13.43
20211231,601099,0,2,0,1,0G2Y0R,1.0,-21.65
20211231,002451,1,2,0,0,1G2Y0R,2.0,-19.97
20211231,603568,1,1,1,0,1G1Y1R,1.5,-33.85
20211231,688819,0,2,1,0,0G2Y1R,1.0,-12.68
20211231,300285,3,0,0,0,3G0Y0R,3.0,-34.98
20211231,300913,1,0,2,0,1G0Y2R,1.0,-10.41
20211231,002247,0,1,2,0,0G1Y2R,0.5,-12.28
20211231,002144,1,0,2,0,1G0Y2R,1.0,0.84
20211231,000058,1,0,2,0,1G0Y2R,1.0,17.62
20211231,300041,0,2,1,0,0G2Y1R,1.0,-11.29
20211231,601088,1,1,1,0,1G1Y1R,1.5,32.72
20211231,600877,0,1,2,0,0G1Y2R,0.5,-12.77
20211231,688069,1,0,2,0,1G0Y2R,1.0,-26.13
20211231,688272,1,2,0,0,1G2Y0R,2.0,-58.76
20211231,601880,3,0,0,0,3G0Y0R,3.0,-4.69
20211231,601882,2,1,0,0,2G1Y0R,2.5,8.27
20211231,600033,2,0,1,0,2G0Y1R,2.0,8.39
