l3_name,l1_name,median_rps,n_stocks,is_hot
股份制银行Ⅲ,银行,100.0,3,True
军工电子Ⅲ,国防军工,100.0,29,True
检测服务,社会服务,100.0,11,True
自然景区,社会服务,100.0,5,True
餐饮,社会服务,100.0,3,True
旅游综合,社会服务,100.0,1,True
航海装备Ⅲ,国防军工,100.0,6,True
航天装备Ⅲ,国防军工,100.0,3,True
航空装备Ⅲ,国防军工,100.0,24,True
地面兵装Ⅲ,国防军工,100.0,5,True
冶钢辅料,钢铁,100.0,1,True
锦纶,基础化工,100.0,2,True
氮肥,基础化工,100.0,1,True
纺织化学制品,基础化工,100.0,6,True
胶黏剂及胶带,基础化工,100.0,4,True
涤纶,基础化工,100.0,3,True
钛白粉,基础化工,100.0,1,True
食品及饲料添加剂,基础化工,100.0,15,True
培训教育,社会服务,100.0,2,True
人力资源服务,社会服务,100.0,2,True
其他专业服务,社会服务,100.0,2,True
酒店,社会服务,100.0,1,True
铁矿石,钢铁,100.0,3,True
保健品,食品饮料,100.0,1,True
熟食,食品饮料,100.0,2,True
零食,食品饮料,100.0,8,True
调味发酵品Ⅲ,食品饮料,100.0,6,True
乳品,食品饮料,100.0,10,True
烘焙食品,食品饮料,100.0,5,True
预加工食品,食品饮料,100.0,9,True
肉制品,食品饮料,100.0,1,True
其他酒类,食品饮料,100.0,3,True
软饮料,食品饮料,100.0,6,True
啤酒,食品饮料,100.0,4,True
白酒Ⅲ,食品饮料,100.0,14,True
人工景区,社会服务,100.0,1,True
体育Ⅲ,社会服务,100.0,1,True
聚氨酯,基础化工,100.0,5,True
其他橡胶制品,基础化工,100.0,4,True
橡胶助剂,基础化工,100.0,1,True
煤化工,基础化工,100.0,1,True
氯碱,基础化工,100.0,3,True
跨境物流,交通运输,100.0,5,True
机场,交通运输,100.0,2,True
仓储物流,交通运输,100.0,1,True
航空运输,交通运输,100.0,3,True
公路货运,交通运输,100.0,1,True
中间产品及消费品供应链服务,交通运输,100.0,3,True
公交,交通运输,100.0,3,True
铁路运输,交通运输,100.0,1,True
航运,交通运输,100.0,6,True
原材料供应链服务,交通运输,100.0,2,True
港口,交通运输,100.0,2,True
高速公路,交通运输,100.0,5,True
农用机械,机械设备,100.0,3,True
楼宇设备,机械设备,100.0,7,True
钾肥,基础化工,100.0,3,True
膜材料,基础化工,100.0,14,True
有机硅,基础化工,100.0,5,True
复合肥,基础化工,100.0,3,True
无机盐,基础化工,100.0,6,True
氟化工,基础化工,100.0,6,True
磷肥及磷化工,基础化工,100.0,2,True
改性塑料,基础化工,100.0,13,True
其他塑料制品,基础化工,100.0,11,True
涂料油墨,基础化工,100.0,11,True
其他化学纤维,基础化工,100.0,5,True
民爆制品,基础化工,100.0,3,True
氨纶,基础化工,100.0,1,True
非金属材料Ⅲ,基础化工,100.0,5,True
合成树脂,基础化工,100.0,7,True
农药,基础化工,100.0,10,True
其他化学制品,基础化工,100.0,40,True
其他化学原料,基础化工,100.0,5,True
炭黑,基础化工,100.0,4,True
特钢Ⅲ,钢铁,100.0,3,True
证券Ⅲ,非银金融,100.0,26,True
城商行Ⅲ,银行,100.0,7,True
娱乐用品,轻工制造,100.0,11,True
金属包装,轻工制造,100.0,2,True
特种纸,轻工制造,100.0,4,True
文化用品,轻工制造,100.0,3,True
塑料包装,轻工制造,100.0,4,True
成品家居,轻工制造,100.0,8,True
卫浴制品,轻工制造,100.0,3,True
印刷,轻工制造,100.0,2,True
其他家居用品,轻工制造,100.0,13,True
资产管理,非银金融,100.0,1,True
品牌化妆品,美容护理,100.0,4,True
医美耗材,美容护理,100.0,2,True
化妆品制造及其他,美容护理,100.0,5,True
洗护用品,美容护理,100.0,3,True
生活用纸,美容护理,100.0,7,True
其他种植业,农林牧渔,100.0,1,True
畜禽饲料,农林牧渔,100.0,2,True
纸包装,轻工制造,100.0,7,True
综合包装,轻工制造,100.0,2,True
瓷砖地板,轻工制造,100.0,6,True
定制家居,轻工制造,100.0,4,True
焦煤,煤炭,100.0,2,True
园林工程,建筑装饰,100.0,3,True
其他专业工程,建筑装饰,100.0,7,True
工程咨询服务Ⅲ,建筑装饰,100.0,25,True
装修装饰Ⅲ,建筑装饰,100.0,4,True
钢结构,建筑装饰,100.0,2,True
化学工程,建筑装饰,100.0,2,True
基建市政工程,建筑装饰,100.0,3,True
国际工程,建筑装饰,100.0,2,True
水务及水治理,环保,100.0,17,True
大气治理,环保,100.0,2,True
综合环境治理,环保,100.0,6,True
环保设备Ⅲ,环保,100.0,9,True
固废治理,环保,100.0,15,True
大宗用纸,轻工制造,100.0,1,True
粮食种植,农林牧渔,100.0,1,True
种子,农林牧渔,100.0,1,True
果蔬加工,农林牧渔,100.0,3,True
耐火材料,建筑材料,100.0,2,True
院线,传媒,100.0,1,True
其他数字媒体,传媒,100.0,2,True
广告媒体,传媒,100.0,1,True
电视广播Ⅲ,传媒,100.0,5,True
教育出版,传媒,100.0,7,True
视频媒体,传媒,100.0,1,True
影视动漫制作,传媒,100.0,2,True
营销代理,传媒,100.0,7,True
游戏Ⅲ,传媒,100.0,14,True
门户网站,传媒,100.0,4,True
大众出版,传媒,100.0,10,True
保险Ⅲ,非银金融,100.0,5,True
金融信息服务,非银金融,100.0,1,True
金融控股,非银金融,100.0,1,True
期货,非银金融,100.0,2,True
其他建材,建筑材料,100.0,8,True
玻纤制造,建筑材料,100.0,3,True
宠物食品,农林牧渔,100.0,1,True
水泥制造,建筑材料,100.0,1,True
动物保健Ⅲ,农林牧渔,100.0,5,True
粮油加工,农林牧渔,100.0,3,True
食用菌,农林牧渔,100.0,2,True
林业Ⅲ,农林牧渔,100.0,1,True
肉鸡养殖,农林牧渔,100.0,4,True
其他农产品加工,农林牧渔,100.0,4,True
生猪养殖,农林牧渔,100.0,2,True
油气及炼化工程,石油石化,100.0,1,True
油田服务,石油石化,100.0,1,True
油气开采Ⅲ,石油石化,100.0,1,True
炼油化工,石油石化,100.0,1,True
油品石化贸易,石油石化,100.0,3,True
其他石化,石油石化,100.0,6,True
水泥制品,建筑材料,100.0,1,True
管材,建筑材料,100.0,2,True
仪器仪表,机械设备,100.0,41,True
磨具磨料,机械设备,100.0,7,True
纺织服装设备,机械设备,100.0,6,True
逆变器,电力设备,100.0,8,True
商业物业经营,商贸零售,100.0,4,True
燃料电池,电力设备,100.0,1,True
硅料硅片,电力设备,100.0,1,True
综合电力设备商,电力设备,100.0,1,True
风电整机,电力设备,100.0,1,True
锂电专用设备,电力设备,100.0,9,True
光伏加工设备,电力设备,100.0,6,True
电工仪器仪表,电力设备,100.0,7,True
机器人,机械设备,100.0,13,True
光伏辅材,电力设备,100.0,6,True
蓄电池及其他电池,电力设备,100.0,5,True
风电零部件,电力设备,100.0,8,True
其他电源设备Ⅲ,电力设备,100.0,13,True
配电设备,电力设备,100.0,11,True
火电设备,电力设备,100.0,2,True
光伏电池组件,电力设备,100.0,7,True
百货,商贸零售,100.0,5,True
跨境电商,商贸零售,100.0,3,True
专业连锁Ⅲ,商贸零售,100.0,4,True
电商服务,商贸零售,100.0,7,True
火力发电,公用事业,100.0,3,True
燃气Ⅲ,公用事业,100.0,11,True
风力发电,公用事业,100.0,4,True
电信运营商,通信,100.0,1,True
通信工程及服务,通信,100.0,1,True
通信线缆及配套,通信,100.0,4,True
其他通信设备,通信,100.0,6,True
通信应用增值服务,通信,100.0,9,True
通信终端及配件,通信,100.0,15,True
通信网络设备及器件,通信,100.0,26,True
综合电商,商贸零售,100.0,1,True
旅游零售Ⅲ,商贸零售,100.0,1,True
多业态零售,商贸零售,100.0,5,True
贸易Ⅲ,商贸零售,100.0,4,True
超市,商贸零售,100.0,2,True
输变电设备,电力设备,100.0,14,True
电池化学品,电力设备,100.0,13,True
线缆部件及其他,电力设备,100.0,13,True
半导体设备,电子,100.0,15,True
光学元件,电子,100.0,18,True
LED,电子,100.0,14,True
半导体材料,电子,100.0,16,True
集成电路封测,电子,100.0,9,True
数字芯片设计,电子,100.0,35,True
印制电路板,电子,100.0,28,True
被动元件,电子,100.0,12,True
面板,电子,100.0,15,True
消费电子零部件及组装,电子,100.0,48,True
产业地产,房地产,100.0,1,True
商业地产,房地产,100.0,2,True
物业管理,房地产,100.0,4,True
住宅开发,房地产,100.0,2,True
国有大型银行Ⅲ,银行,100.0,1,True
农商行Ⅲ,银行,100.0,1,True
品牌消费电子,电子,100.0,5,True
电子化学品Ⅲ,电子,100.0,25,True
电机Ⅲ,电力设备,100.0,19,True
其他电子Ⅲ,电子,100.0,16,True
电网自动化设备,电力设备,100.0,18,True
锂电池,电力设备,100.0,12,True
印染,纺织服饰,100.0,2,True
纺织鞋类制造,纺织服饰,100.0,1,True
鞋帽及其他,纺织服饰,100.0,5,True
家纺,纺织服饰,100.0,4,True
其他纺织,纺织服饰,100.0,9,True
棉纺,纺织服饰,100.0,3,True
辅料,纺织服饰,100.0,2,True
运动服装,纺织服饰,100.0,3,True
非运动服装,纺织服饰,100.0,16,True
钟表珠宝,纺织服饰,100.0,5,True
集成电路制造,电子,100.0,5,True
模拟芯片设计,电子,100.0,17,True
分立器件,电子,100.0,11,True
热力服务,公用事业,100.0,9,True
水力发电,公用事业,100.0,5,True
电能综合服务,公用事业,100.0,6,True
医疗耗材,医药生物,100.0,40,True
医疗研发外包,医药生物,100.0,21,True
医药流通,医药生物,100.0,5,True
医疗设备,医药生物,100.0,23,True
疫苗,医药生物,100.0,10,True
原料药,医药生物,100.0,28,True
诊断服务,医药生物,100.0,3,True
其他生物制品,医药生物,100.0,23,True
化学制剂,医药生物,100.0,43,True
中药Ⅲ,医药生物,100.0,37,True
横向通用软件,计算机,100.0,13,True
安防设备,计算机,100.0,15,True
垂直应用软件,计算机,100.0,44,True
其他计算机设备,计算机,100.0,33,True
IT服务Ⅲ,计算机,100.0,40,True
镍,有色金属,100.0,1,True
血液制品,医药生物,100.0,3,True
体外诊断,医药生物,100.0,22,True
钴,有色金属,100.0,1,True
医院,医药生物,100.0,4,True
其他通用设备,机械设备,100.0,27,True
其他专用设备,机械设备,100.0,48,True
金属制品,机械设备,100.0,42,True
轨交设备Ⅲ,机械设备,100.0,16,True
工控设备,机械设备,100.0,20,True
印刷包装机械,机械设备,100.0,5,True
工程机械器件,机械设备,100.0,8,True
能源及重型设备,机械设备,100.0,26,True
其他自动化设备,机械设备,100.0,14,True
激光设备,机械设备,100.0,6,True
机床工具,机械设备,100.0,13,True
制冷空调设备,机械设备,100.0,10,True
工程机械整机,机械设备,100.0,10,True
其他医疗服务,医药生物,100.0,1,True
线下药店,医药生物,100.0,1,True
钼,有色金属,100.0,1,True
其他金属新材料,有色金属,100.0,5,True
核力发电,公用事业,100.0,1,True
车身附件及饰件,汽车,100.0,24,True
商用载货车,汽车,100.0,4,True
底盘与发动机系统,汽车,100.0,54,True
其他家电Ⅲ,家用电器,100.0,1,True
彩电,家用电器,100.0,2,True
清洁小家电,家用电器,100.0,5,True
个护小家电,家用电器,100.0,2,True
卫浴电器,家用电器,100.0,2,True
厨房电器,家用电器,100.0,2,True
冰洗,家用电器,100.0,4,True
照明设备Ⅲ,家用电器,100.0,6,True
家电零部件Ⅲ,家用电器,100.0,19,True
厨房小家电,家用电器,100.0,8,True
其他黑色家电,家用电器,100.0,3,True
空调,家用电器,100.0,2,True
光伏发电,公用事业,100.0,1,True
综合乘用车,汽车,100.0,2,True
汽车电子电气系统,汽车,100.0,21,True
其他小金属,有色金属,100.0,8,True
商用载客车,汽车,100.0,3,True
稀土,有色金属,100.0,3,True
磁性材料,有色金属,100.0,13,True
铜,有色金属,100.0,4,True
钨,有色金属,100.0,3,True
铝,有色金属,100.0,9,True
铅锌,有色金属,100.0,6,True
黄金,有色金属,100.0,6,True
锂,有色金属,100.0,4,True
电动乘用车,汽车,100.0,1,True
汽车经销商,汽车,100.0,1,True
其他运输设备,汽车,100.0,6,True
汽车综合服务,汽车,100.0,2,True
摩托车,汽车,100.0,6,True
轮胎轮毂,汽车,100.0,5,True
其他汽车零部件,汽车,100.0,35,True
动力煤,煤炭,100.0,6,True
