证券代码,证券名称,申万3级行业名称
600684,珠江股份,房地产综合服务
605376,博迁新材,镍
600640,国脉文化,其他数字媒体
603466,风语筑,其他数字媒体
301313,凡拓数创,其他数字媒体
000615,*ST美谷,医美服务
920982,锦波生物,医美耗材
688363,华熙生物,医美耗材
300896,爱美客,医美耗材
600223,福瑞达,品牌化妆品
600315,上海家化,品牌化妆品
603605,珀莱雅,品牌化妆品
603630,拉芳家化,品牌化妆品
603983,丸美生物,品牌化妆品
300740,水羊股份,品牌化妆品
300957,贝泰妮,品牌化妆品
301371,敷尔佳,品牌化妆品
920123,芭薇股份,化妆品制造及其他
002094,青岛金王,化妆品制造及其他
300132,青松股份,化妆品制造及其他
300849,锦盛新材,化妆品制造及其他
300856,科思股份,化妆品制造及其他
300886,华业香料,化妆品制造及其他
300955,嘉亨家化,化妆品制造及其他
600249,两面针,洗护用品
603059,倍加洁,洗护用品
603193,润本股份,洗护用品
001328,登康口腔,洗护用品
605009,豪悦护理,生活用纸
001206,依依股份,生活用纸
002511,中顺洁柔,生活用纸
003006,百亚股份,生活用纸
300658,延江股份,生活用纸
300888,稳健医疗,生活用纸
301009,可靠股份,生活用纸
301108,洁雅股份,生活用纸
920145,恒合股份,环保设备Ⅲ
600388,龙净环保,环保设备Ⅲ
600526,菲达环保,环保设备Ⅲ
600817,宇通重工,环保设备Ⅲ
603126,中材节能,环保设备Ⅲ
603282,亚光股份,环保设备Ⅲ
603324,盛剑科技,环保设备Ⅲ
688309,恒誉环保,环保设备Ⅲ
688376,美埃科技,环保设备Ⅲ
688501,青达环保,环保设备Ⅲ
688671,碧兴物联,环保设备Ⅲ
000551,创元科技,环保设备Ⅲ
000820,*ST节能,环保设备Ⅲ
000890,法尔胜,环保设备Ⅲ
000967,盈峰环境,环保设备Ⅲ
001336,楚环科技,环保设备Ⅲ
002645,华宏科技,环保设备Ⅲ
002658,雪迪龙,环保设备Ⅲ
300105,龙源技术,环保设备Ⅲ
300137,先河环保,环保设备Ⅲ
300203,聚光科技,环保设备Ⅲ
300210,森远股份,环保设备Ⅲ
300631,久吾高科,环保设备Ⅲ
300786,国林科技,环保设备Ⅲ
300800,力合科技,环保设备Ⅲ
301030,*ST仕净,环保设备Ⅲ
301081,严牌股份,环保设备Ⅲ
301288,清研环境,环保设备Ⅲ
600133,东湖高新,综合环境治理
603686,福龙马,综合环境治理
605069,正和生态,综合环境治理
688480,赛恩斯,综合环境治理
688701,卓锦股份,综合环境治理
000068,华控赛格,综合环境治理
000711,ST京蓝,综合环境治理
000826,*ST启环,综合环境治理
002887,绿茵生态,综合环境治理
300152,*ST动力,综合环境治理
300187,永清环保,综合环境治理
300190,维尔利,综合环境治理
300864,南大环境,综合环境治理
300958,建工修复,综合环境治理
301259,艾布鲁,综合环境治理
920370,新安洁,固废治理
600217,中再资环,固废治理
600323,瀚蓝环境,固废治理
601033,永兴股份,固废治理
601200,上海环境,固废治理
601330,绿色动力,固废治理
601827,三峰环境,固废治理
603568,伟明环保,固废治理
603588,高能环境,固废治理
688178,万德斯,固废治理
688370,丛麟科技,固废治理
688679,通源环境,固废治理
000035,中国天楹,固废治理
000546,金圆股份,固废治理
000803,山高环能,固废治理
000885,城发环境,固废治理
001230,劲旅环境,固废治理
002034,旺能环境,固废治理
002210,飞马国际,固废治理
002266,浙富控股,固废治理
002672,东江环保,固废治理
002973,侨银股份,固废治理
300140,节能环境,固废治理
300614,百川畅银,固废治理
300779,惠城环保,固废治理
300815,玉禾田,固废治理
300854,中兰环保,固废治理
300867,圣元环保,固废治理
301049,超越科技,固废治理
301068,大地海洋,固废治理
301109,军信股份,固废治理
301175,中科环保,固废治理
301265,华新科技,固废治理
301305,朗坤科技,固废治理
301500,飞南资源,固废治理
600008,首创环保,水务及水治理
600168,武汉控股,水务及水治理
600187,*ST国中,水务及水治理
600283,钱江水利,水务及水治理
600461,洪城环境,水务及水治理
600769,祥龙电业,水务及水治理
600796,钱江生化,水务及水治理
600874,创业环保,水务及水治理
601158,重庆水务,水务及水治理
601199,江南水务,水务及水治理
601368,绿城水务,水务及水治理
603200,上海洗霸,水务及水治理
603291,联合水务,水务及水治理
603759,海天股份,水务及水治理
603797,联泰环保,水务及水治理
603817,海峡环保,水务及水治理
603903,中持股份,水务及水治理
605081,*ST太和,水务及水治理
688057,金达莱,水务及水治理
688069,德林海,水务及水治理
688096,京源环保,水务及水治理
688101,三达膜,水务及水治理
688335,复洁科技,水务及水治理
688466,金科环境,水务及水治理
688565,力源科技,水务及水治理
000544,中原环保,水务及水治理
000598,兴蓉环境,水务及水治理
000605,渤海股份,水务及水治理
000685,中山公用,水务及水治理
002573,清新环境,水务及水治理
