,nav
20220104,99700897.32349798
20220105,98242730.23177801
20220106,99344191.83302407
20220107,98198729.03862175
20220110,98989165.74486636
20220111,98476855.92366196
20220112,99762484.41229235
20220113,99032645.92790653
20220114,98344097.66969234
20220117,100492905.50544749
20220118,100153849.17023337
20220119,99894081.0919052
20220120,97755652.13227794
20220121,96832956.6439631
20220124,96697955.62019785
20220125,92807087.48819089
20220126,94041984.5508573
20220127,91257054.12674294
20220128,91718246.54096726
20220207,93580008.11844234
20220208,95381296.08513772
20220209,96687605.45697251
20220210,96971932.48723665
20220211,95714582.82361652
20220214,94879158.57069685
20220215,94772001.86166054
20220216,95955385.10298799
20220217,95821596.61224458
20220218,96900281.40687495
20220221,97903398.92599878
20220222,96775948.50957322
20220223,97514574.3560932
20220224,95628145.70106412
20220225,96173512.92067505
20220228,96435413.06384374
20220301,96761194.35085668
20220302,96914184.25300798
20220303,97398476.51798813
20220304,96150196.48914634
20220307,94739989.01956056
20220308,91595551.19345157
20220309,90153150.0926117
20220310,91341080.17169283
20220311,91710791.80702767
20220314,89069124.56211168
20220315,83828700.89549537
20220316,86395883.61231567
20220317,87660509.09028405
20220318,89029915.52840143
20220321,89256368.24586423
20220322,89755106.55668662
20220323,90011687.6325112
20220324,88961866.31715244
20220325,88708666.25279257
20220328,89086284.5582991
20220329,88489267.03554408
20220330,90026585.47007667
20220331,90419401.8100598
20220401,91081212.68015885
20220406,92030953.7795249
20220407,90339245.00895804
20220408,90456507.67672645
20220411,88244115.72657864
20220412,89539654.73942345
20220413,88752795.45350605
20220414,90040316.8223907
20220415,88762664.94519278
20220418,88930033.79250315
20220419,89550515.1856266
20220420,88611910.8196039
20220421,86003798.02186571
20220422,86312917.78215039
20220425,80702086.76280014
20220426,78125335.47881193
20220427,80159177.50167735
20220428,79408618.29748848
20220429,81888005.32685801
20220505,83160181.93892092
20220506,81594569.80781691
20220509,82284598.44612649
20220510,83109696.03211328
20220511,83396577.58965756
20220512,83680266.80829193
20220513,84856674.19554354
20220516,84991499.82549544
20220517,84935761.61665079
20220518,85295188.40204807
20220519,85701392.75698465
20220520,87160905.52790986
20220523,88121939.90366453
20220524,85272324.42100014
20220525,86701474.47272053
20220526,87181875.38003251
20220527,87359240.10434203
20220530,87839017.26647754
20220531,88307899.82990593
20220601,88461088.85704656
20220602,88978428.18570346
20220606,90241922.44522123
20220607,90041475.94426197
20220608,90078918.18817715
20220609,89280482.43858694
20220610,91102277.50969595
20220613,90916980.29788093
20220614,91353027.29784364
20220615,91136683.15879267
20220616,90749355.89037588
20220617,91070436.84761438
20220620,91246177.98279709
