date,code,direction,qty,price,cost
20150105,300191,buy,59559,16.79,2999.99
20150105,600215,buy,186915,5.35,2999.99
20150105,300316,buy,192678,5.19,3000.0
20150105,300033,buy,467289,2.14,3000.0
20150105,000697,buy,58719,17.03,2999.95
20150105,002399,buy,67704,14.77,2999.96
20150105,600773,buy,81699,12.24,2999.99
20150105,603993,buy,440528,2.27,3000.0
20150105,300306,buy,93632,10.68,2999.97
20150105,600415,buy,194174,5.15,2999.99
20150105,600727,buy,192307,5.2,2999.99
20150105,000534,buy,140845,7.1,3000.0
20150105,002283,buy,296735,3.37,2999.99
20150105,300286,buy,82712,12.09,2999.96
20150105,002632,buy,446428,2.24,3000.0
20150105,600468,buy,163934,6.1,2999.99
20150105,000151,buy,54614,18.31,2999.95
20150105,300102,buy,173310,5.77,3000.0
20150105,600900,buy,295857,3.38,2999.99
20150105,002549,buy,115074,8.69,2999.98
20150105,600882,buy,121951,8.2,2999.99
20150105,002238,buy,212314,4.71,3000.0
20150105,002568,buy,130039,7.69,3000.0
20150105,002677,buy,420168,2.38,3000.0
20150105,000429,buy,1612903,0.62,3000.0
20150105,600037,buy,77399,12.92,2999.99
20150105,600106,buy,289855,3.45,3000.0
20150105,600645,buy,24875,40.2,2999.93
20150105,300238,buy,44964,22.24,3000.0
20150105,002488,buy,173310,5.77,3000.0
20150105,300050,buy,131233,7.62,2999.99
20150105,300103,buy,89525,11.17,2999.98
20150105,600167,buy,296735,3.37,2999.99
20150105,601199,buy,263852,3.79,3000.0
20150105,601233,buy,152671,6.55,2999.99
20150105,300271,buy,114810,8.71,2999.99
20150105,300144,buy,163132,6.13,3000.0
20150105,002609,buy,139664,7.16,2999.98
20150105,300053,buy,148809,6.72,2999.99
20150105,002315,buy,105820,9.45,3000.0
20150105,300342,buy,144717,6.91,2999.98
20150105,000603,buy,81300,12.3,2999.97
20150105,000612,buy,107411,9.31,2999.99
20150105,600012,buy,414937,2.41,2999.99
20150105,300199,buy,79176,12.63,2999.98
20150105,300107,buy,285714,3.5,3000.0
20150105,600570,buy,63451,15.76,2999.96
20150105,002156,buy,168067,5.95,3000.0
20150105,300179,buy,284900,3.51,3000.0
20150105,300183,buy,46168,21.66,3000.0
20150105,002152,buy,126422,7.91,2999.99
20150105,300272,buy,163666,6.11,3000.0
20150105,300215,buy,139470,7.17,3000.0
20150105,300162,buy,50200,19.92,2999.95
20150105,000665,buy,104384,9.58,3000.0
20150105,002545,buy,337837,2.96,2999.99
20150105,300318,buy,236406,4.23,2999.99
20150105,600137,buy,62305,16.05,2999.99
20150105,002492,buy,170648,5.86,2999.99
20150105,002282,buy,102669,9.74,2999.99
20150105,002342,buy,163132,6.13,3000.0
20150105,002405,buy,120192,8.32,2999.99
20150105,300004,buy,50200,19.92,2999.95
20150105,002553,buy,229885,4.35,3000.0
20150105,002029,buy,120192,8.32,2999.99
20150105,002550,buy,259067,3.86,3000.0
20150105,300127,buy,122100,8.19,3000.0
20150105,300288,buy,17047,58.66,2999.93
20150105,002144,buy,61804,16.18,2999.97
20150105,002001,buy,534759,1.87,3000.0
20150105,300321,buy,39904,25.06,2999.98
20150105,000598,buy,150375,6.65,2999.98
20150105,300086,buy,115740,8.64,2999.98
20150105,300193,buy,232018,4.31,2999.99
20150105,601100,buy,446428,2.24,3000.0
20150105,603306,buy,101214,9.88,2999.98
20150105,600236,buy,645161,1.55,3000.0
20150105,300146,buy,125156,7.99,2999.99
20150105,600585,buy,119904,8.34,3000.0
20150105,300227,buy,154083,6.49,3000.0
20150105,000766,buy,152207,6.57,3000.0
20150105,600886,buy,105374,9.49,3000.0
20150105,300258,buy,157977,6.33,2999.98
20150105,600201,buy,125786,7.95,3000.0
20150105,300149,buy,210970,4.74,2999.99
20150105,300294,buy,89365,11.19,2999.98
20150105,600461,buy,289017,3.46,3000.0
20150105,600176,buy,606060,1.65,3000.0
20150105,000599,buy,169491,5.9,2999.99
20150105,300219,buy,273972,3.65,2999.99
20150105,300160,buy,271739,3.68,3000.0
20150105,002657,buy,43821,22.82,2999.99
20150105,002363,buy,95877,10.43,2999.99
20150105,600399,buy,89126,11.22,2999.98
20150105,002064,buy,216450,4.62,3000.0
20150105,002537,buy,274725,3.64,3000.0
20150105,002511,buy,374531,2.67,2999.99
20150105,300351,buy,59665,16.76,2999.96
20150105,300113,buy,125470,7.97,2999.99
20150105,002328,buy,182633,3.84,2103.93
20150202,300160,sell,271739,2.7,2201.09
20150202,300191,sell,1939,19.13,111.28
20150202,600215,buy,4448,5.76,76.86
20150202,300316,sell,24906,6.57,490.9
20150202,300033,sell,282346,5.96,5048.35
20150202,000697,buy,6580,16.88,333.21
20150202,002399,buy,3964,15.38,182.9
20150202,600773,buy,9926,12.03,358.23
20150202,603993,sell,44032,2.78,367.23
20150202,300306,sell,6012,12.58,226.89
20150202,600727,buy,15665,5.3,249.07
20150202,000534,buy,15061,7.07,319.44
20150202,002283,buy,12020,3.57,128.73
20150202,300286,buy,1301,13.12,51.21
20150202,600468,buy,7757,6.42,149.4
20150202,002632,sell,52764,2.8,443.22
20150202,000151,buy,5356,18.38,295.33
20150202,300102,buy,8881,6.05,161.19
20150202,600882,buy,11011,8.29,273.84
20150202,002549,buy,11622,8.7,303.33
20150202,002238,buy,1716,5.15,26.51
20150202,002568,sell,38337,12.02,1382.43
20150202,002677,buy,37199,2.41,268.95
20150202,000429,buy,1629027,0.34,1661.61
20150202,600037,sell,10837,16.56,538.38
20150202,600645,buy,147,44.05,19.43
20150202,600106,buy,35294,3.39,358.94
20150202,600900,buy,216820,2.15,1398.49
20150202,300238,sell,1585,25.41,120.82
20150202,002488,sell,19792,7.18,426.32
20150202,300050,sell,12198,9.26,338.86
20150202,300103,buy,5908,11.55,204.71
20150202,600167,buy,6082,3.64,66.42
20150202,601199,buy,15200,3.95,180.12
20150202,601233,buy,17693,6.47,343.42
20150202,300271,sell,30345,13.05,1188.01
20150202,300144,buy,16681,6.13,306.76
20150202,002609,sell,18270,9.08,497.67
20150202,300053,sell,14223,8.19,349.46
20150202,002315,sell,21485,13.07,842.43
20150202,300342,sell,14426,8.46,366.13
20150202,000603,buy,3293,13.03,128.72
20150202,000612,buy,20312,8.63,525.88
20150202,300199,sell,13876,16.88,702.68
20150202,600012,buy,174504,1.87,978.97
20150202,300107,sell,25133,4.23,318.94
20150202,002156,sell,28008,7.87,661.27
20150202,300179,sell,45798,4.61,633.39
20150202,300183,sell,3328,25.73,256.89
20150202,600570,sell,3998,18.54,222.37
20150202,300272,sell,7095,7.04,149.85
20150202,002152,buy,12927,7.91,306.76
20150202,300215,buy,2756,7.75,64.08
20150202,600137,buy,6328,16.06,304.88
20150202,300162,sell,3175,23.44,223.27
20150202,000665,buy,7747,9.83,228.46
20150202,300318,sell,9604,4.86,140.03
20150202,002545,sell,2804,3.29,27.68
20150202,600415,buy,7704,5.46,126.19
20150202,002492,buy,11242,6.06,204.38
20150202,002282,sell,418,10.78,13.52
20150202,002342,buy,19663,6.03,355.7
20150202,002029,buy,5492,8.77,144.49
20150202,300004,sell,4764,24.26,346.72
20150202,002144,buy,4199,16.7,210.37
20150202,002550,sell,23542,4.68,330.53
20150202,002553,sell,10311,5.02,155.28
20150202,300127,buy,4741,8.69,123.6
20150202,002405,sell,12021,10.19,367.48
20150202,002001,buy,162871,1.58,772.01
20150202,300321,buy,412,27.34,33.79
20150202,000598,buy,26552,6.23,496.26
20150202,300086,buy,409,9.49,11.64
20150202,300288,buy,1859,58.3,325.14
20150202,300193,buy,26121,4.27,334.61
20150202,601100,buy,324380,1.43,1391.59
20150202,300146,buy,528,8.77,13.89
20150202,603306,sell,4439,11.39,151.68
20150202,600236,sell,96774,2.01,583.55
20150202,600585,buy,96224,5.1,1472.23
20150202,300227,buy,10187,6.71,205.06
20150202,600886,buy,64465,6.49,1255.13
20150202,300258,buy,11340,6.51,221.47
20150202,000766,buy,6163,6.96,128.68
20150202,600201,sell,30763,11.6,1070.55
20150202,300149,buy,6437,5.07,97.91
20150202,300294,sell,901,12.46,33.68
20150202,600461,buy,43991,3.31,436.83
20150202,600176,buy,148910,1.46,652.23
20150202,000599,buy,12700,6.05,230.5
20150202,300219,sell,6434,4.12,79.52
20150202,002657,sell,15138,38.43,1745.26
20150202,002363,sell,6043,12.27,222.44
20150202,002064,buy,12709,4.81,183.39
20150202,600399,buy,16860,10.4,526.03
20150202,002537,sell,38695,4.67,542.12
20150202,002511,buy,23395,2.77,194.41
20150202,300351,buy,699,18.26,38.29
20150202,300113,sell,25082,10.98,826.2
20150202,002328,buy,77947,4.23,989.15
20150202,002287,buy,75584,13.96,3165.46
20150302,002287,sell,75584,14.59,3308.31
20150302,300191,buy,496,22.15,32.96
20150302,600215,buy,20708,6.07,377.09
20150302,300316,sell,9824,8.15,240.2
20150302,300033,sell,114561,18.29,6285.96
20150302,000697,sell,2961,20.65,183.43
20150302,002399,buy,6490,16.47,320.67
20150302,600773,buy,520,13.97,21.79
20150302,603993,sell,8763,3.32,87.28
20150302,300306,buy,10945,13.06,428.83
20150302,600415,sell,15856,6.92,329.17
20150302,600727,buy,9105,5.93,161.98
20150302,000534,buy,7453,7.88,176.19
20150302,002283,sell,8691,4.29,111.85
20150302,300286,buy,6195,14.27,265.21
20150302,600468,buy,18733,6.76,379.91
20150302,002632,sell,3,3.27,0.03
20150302,000151,buy,1533,20.93,96.26
20150302,300102,buy,14338,6.55,281.74
20150302,600900,buy,32776,2.36,232.05
20150302,600882,buy,10867,8.95,291.78
20150302,002549,buy,5603,9.73,163.55
